candidate_id,source_id,module_id,grade,subject,subdomain,screen_id,activity_id,record_key,pair_method,candidate_bucket,en_sentence_index,ne_sentence_index,en_text,ne_text,manual_label,reviewer,notes
EPAATH_grade5__math__fractions_candidate_00037,EPAATH_grade5__math__fractions,grade5/math/fractions,5,math,mathematics,page3,p3text1,strings/string#id=p3text1,exact_record_key,high_exact_single_sentence,1,1,Multiplying a fraction with another fraction means multiplying the numerator with the numerator and denominator with the denominator.,भिन्नहरूको गुणन गर्दा हरले हरलाई र अंशले अंशलाई गुणन गर्नुपर्छ।,,,
EPAATH_grade5__math__fractions_candidate_00039,EPAATH_grade5__math__fractions,grade5/math/fractions,5,math,mathematics,page3,p3text3,strings/string#id=p3text3,exact_record_key,high_exact_single_sentence,1,1,Enter two proper fractions you want to multiply:,गुणन गर्ने दुई ओटा उपयुक्त भिन्न राख:,,,
EPAATH_grade5__math__fractions_candidate_00040,EPAATH_grade5__math__fractions,grade5/math/fractions,5,math,mathematics,page3,p3text4,strings/string#id=p3text4,exact_record_key,high_exact_single_sentence,1,1,Choose a numerator which is less than the denominator.,हरभन्दा अंश सानो छान।,,,
EPAATH_grade5__math__fractions_candidate_00046,EPAATH_grade5__math__fractions,grade5/math/fractions,5,math,mathematics,page3,pctext3,strings/string#id=pctext3,exact_record_key,high_exact_single_sentence,1,1,Multiply,गुणन,,,
EPAATH_grade5__math__fractions_candidate_00008,EPAATH_grade5__math__fractions,grade5/math/fractions,5,math,mathematics,exercise,format1,strings/string#id=format1,exact_record_key,high_exact_single_sentence,1,1,Product = a x :: b _/_ c ;; =,गुणनफल = a x :: b _/_ c ;; =,,,
EPAATH_grade5__math__fractions_candidate_00009,EPAATH_grade5__math__fractions,grade5/math/fractions,5,math,mathematics,exercise,format2,strings/string#id=format2,exact_record_key,high_exact_single_sentence,1,1,Product = :: a _/_ b ;; x :: c _/_ d ;; =,गुणनफल = :: a _/_ b ;; x :: c _/_ d ;; =,,,
EPAATH_grade5__math__fractions_candidate_00010,EPAATH_grade5__math__fractions,grade5/math/fractions,5,math,mathematics,exercise,hint,strings/string#id=hint,exact_record_key,high_exact_single_sentence,1,1,"Hint: ::
 a ×
 b _/_
 c ;;","सुझाव: ::
 a ×
 b _/_
 c ;;",,,
EPAATH_grade5__math__fractions_candidate_00050,EPAATH_grade5__math__fractions,grade5/math/fractions,5,math,mathematics,exercise,ques1,strings/string#id=ques1,exact_record_key,high_exact_single_sentence,1,1,Enter the product of the following multiplication:,तल उल्लेखित गुणनको गुणनफल राख:,,,
EPAATH_grade5__math__fractions_candidate_00044,EPAATH_grade5__math__fractions,grade5/math/fractions,5,math,mathematics,global,pctext1,strings/string#id=pctext1,exact_record_key,medium_global_ui,1,1,Check,जाँच,,,
EPAATH_grade5__math__fractions_candidate_00047,EPAATH_grade5__math__fractions,grade5/math/fractions,5,math,mathematics,global,pdiy,strings/string#id=pdiy,exact_record_key,medium_global_ui,1,1,Do It Yourself,आफैँँ गर,,,
EPAATH_grade5__math__fractions_candidate_00049,EPAATH_grade5__math__fractions,grade5/math/fractions,5,math,mathematics,global,predo,strings/string#id=predo,exact_record_key,medium_global_ui,1,1,Play again,फेरी खेल,,,
EPAATH_grade5__math__fractions_candidate_00051,EPAATH_grade5__math__fractions,grade5/math/fractions,5,math,mathematics,global,title1,strings/string#id=title1,exact_record_key,medium_global_ui,1,1,Fractions,भिन्न,,,
EPAATH_grade5__math__fractions_candidate_00014,EPAATH_grade5__math__fractions,grade5/math/fractions,5,math,mathematics,page1,p1text10,strings/string#id=p1text10,exact_record_key,low_shared_text,1,1,::5_/_3;; = ::#3@ + 2_/_#3@;; = ::#3@_/_#3@;; + ::2_/_#3@;;,::5_/_3;; = ::#3@ + 2_/_#3@;; = ::#3@_/_#3@;; + ::2_/_#3@;;,,,
EPAATH_grade5__math__fractions_candidate_00015,EPAATH_grade5__math__fractions,grade5/math/fractions,5,math,mathematics,page1,p1text11,strings/string#id=p1text11,exact_record_key,low_shared_text,1,1,::5_/_3;; = ::3 + 2_/_3;; = ::#3@_/_#3@;; + ::2_/_#3@;; = #1@ + ::2_/_#3@;;,::5_/_3;; = ::3 + 2_/_3;; = ::#3@_/_#3@;; + ::2_/_#3@;; = #1@ + ::2_/_#3@;;,,,
EPAATH_grade5__math__fractions_candidate_00016,EPAATH_grade5__math__fractions,grade5/math/fractions,5,math,mathematics,page1,p1text12,strings/string#id=p1text12,exact_record_key,low_shared_text,1,1,::5_/_3;; = ::3 + 2_/_3;; = ::3_/_3;; + ::2_/_3;; = #1@ + ::2_/_#3@;; = #1@::2_/_#3@;;,::5_/_3;; = ::3 + 2_/_3;; = ::3_/_3;; + ::2_/_3;; = #1@ + ::2_/_#3@;; = #1@::2_/_#3@;;,,,
EPAATH_grade5__math__fractions_candidate_00019,EPAATH_grade5__math__fractions,grade5/math/fractions,5,math,mathematics,page1,p1text15,strings/string#id=p1text15,exact_record_key,low_shared_text,1,1,14 × ::1_/_3;; = ::1 × 14_/_3;; = ::14_/_3;; = ::3 + 3 + 3 + 3 + 2_/_3;; =,14 × ::1_/_3;; = ::1 × 14_/_3;; = ::14_/_3;; = ::3 + 3 + 3 + 3 + 2_/_3;; =,,,
EPAATH_grade5__math__fractions_candidate_00020,EPAATH_grade5__math__fractions,grade5/math/fractions,5,math,mathematics,page1,p1text16,strings/string#id=p1text16,exact_record_key,low_shared_text,1,1,::5_/_3;;,::5_/_3;;,,,
EPAATH_grade5__math__fractions_candidate_00022,EPAATH_grade5__math__fractions,grade5/math/fractions,5,math,mathematics,page1,p1text3,strings/string#id=p1text3,exact_record_key,low_shared_text,1,1,18 × ::1_/_2;; = ::1 × 18_/_2;; = ::18_/_2;; =,18 × ::1_/_2;; = ::1 × 18_/_2;; = ::18_/_2;; =,,,
EPAATH_grade5__math__fractions_candidate_00024,EPAATH_grade5__math__fractions,grade5/math/fractions,5,math,mathematics,page1,p1text5,strings/string#id=p1text5,exact_record_key,low_shared_text,1,1,18 × ::1_/_3;; = ::1 × 18_/_3;; = ::18_/_3;; =,18 × ::1_/_3;; = ::1 × 18_/_3;; = ::18_/_3;; =,,,
EPAATH_grade5__math__fractions_candidate_00026,EPAATH_grade5__math__fractions,grade5/math/fractions,5,math,mathematics,page1,p1text7,strings/string#id=p1text7,exact_record_key,low_shared_text,1,1,5 × ::1_/_3;; = ::5 × 1_/_3;; = ::5_/_3;;,5 × ::1_/_3;; = ::5 × 1_/_3;; = ::5_/_3;;,,,
EPAATH_grade5__math__fractions_candidate_00028,EPAATH_grade5__math__fractions,grade5/math/fractions,5,math,mathematics,page1,p1text9,strings/string#id=p1text9,exact_record_key,low_shared_text,1,1,::5_/_#3@;; = ::#3@ + 2_/_#3@;;,::5_/_#3@;; = ::#3@ + 2_/_#3@;;,,,
EPAATH_grade5__math__fractions_candidate_00033,EPAATH_grade5__math__fractions,grade5/math/fractions,5,math,mathematics,page2,p2text5,strings/string#id=p2text5,exact_record_key,low_shared_text,1,1,:: a × b _/_ c ;;,:: a × b _/_ c ;;,,,
EPAATH_grade5__math__fractions_candidate_00034,EPAATH_grade5__math__fractions,grade5/math/fractions,5,math,mathematics,page2,p2text6,strings/string#id=p2text6,exact_record_key,low_shared_text,1,1,f # ) e ( @ x,f # ) e ( @ x,,,
EPAATH_grade5__math__fractions_candidate_00035,EPAATH_grade5__math__fractions,grade5/math/fractions,5,math,mathematics,page2,p2text7,strings/string#id=p2text7,exact_record_key,low_shared_text,1,1,::- z _/_ y ;;,::- z _/_ y ;;,,,
EPAATH_grade5__math__fractions_candidate_00038,EPAATH_grade5__math__fractions,grade5/math/fractions,5,math,mathematics,page3,p3text2,strings/string#id=p3text2,exact_record_key,low_shared_text,1,1,::2_/_3;; × ::1_/_5;; = ::2 × 1_/_3 × 5;; = ::2_/_15;;,::2_/_3;; × ::1_/_5;; = ::2 × 1_/_3 × 5;; = ::2_/_15;;,,,
EPAATH_grade5__math__fractions_candidate_00041,EPAATH_grade5__math__fractions,grade5/math/fractions,5,math,mathematics,page3,p3text5,strings/string#id=p3text5,exact_record_key,low_shared_text,1,1,::2_/_3;; × ::1_/_5;; =,::2_/_3;; × ::1_/_5;; =,,,
EPAATH_grade5__math__fractions_candidate_00042,EPAATH_grade5__math__fractions,grade5/math/fractions,5,math,mathematics,page3,p3text6,strings/string#id=p3text6,exact_record_key,low_shared_text,1,1,::2_/_3;; × ::1_/_5;; =,::2_/_3;; × ::1_/_5;; =,,,
EPAATH_grade5__math__fractions_candidate_00043,EPAATH_grade5__math__fractions,grade5/math/fractions,5,math,mathematics,exercise,p6_heading,strings/string#id=p6_heading,exact_record_key,low_shared_text,1,1,Under Construction,Under Construction,,,
EPAATH_grade5__math__fractions_candidate_00011,EPAATH_grade5__math__fractions,grade5/math/fractions,5,math,mathematics,global,next_1,strings/string#id=next_1,exact_record_key,low_shared_text,1,1,Go to the next page,Go to the next page,,,
EPAATH_grade5__math__fractions_candidate_00012,EPAATH_grade5__math__fractions,grade5/math/fractions,5,math,mathematics,global,next_2,strings/string#id=next_2,exact_record_key,low_shared_text,1,1,Go to another section,Go to another section,,,
