candidate_id,source_id,module_id,grade,subject,subdomain,screen_id,activity_id,record_key,pair_method,candidate_bucket,module_quality_score,module_risk_level,module_quality_flags,review_priority,auto_decision,qa_flags,en_record_text,ne_record_text,en_sentence_index,ne_sentence_index,en_text,ne_text,exclude_reason
EPAATH_grade1__english__basic_sounds_2_candidate_00005,EPAATH_grade1__english__basic_sounds_2,grade1/english/basic_sounds_2,1,english,english_language,overview,lesson/subject,lesson/subject,exact_record_key,high_exact_single_sentence,0,high,low_overlap_min;low_overlap_max;low_nepali_script;few_content_pairs;no_content_screen_pairs;many_latin_only_ne_pairs,low,likely_reject,latin_only_nepali;lesson_metadata;module_high_risk;module_low_content_overlap;module_low_coverage;module_low_nepali_script,English,Science,1,1,English,Science,latin_only_nepali;lesson_metadata;module_high_risk;module_low_content_overlap;module_low_coverage;module_low_nepali_script
EPAATH_grade1__english__basic_sounds_2_candidate_00006,EPAATH_grade1__english__basic_sounds_2,grade1/english/basic_sounds_2,1,english,english_language,overview,lesson/topic,lesson/topic,exact_record_key,high_exact_single_sentence,0,high,low_overlap_min;low_overlap_max;low_nepali_script;few_content_pairs;no_content_screen_pairs;many_latin_only_ne_pairs,low,likely_reject,formula_or_symbolic;latin_only_nepali;lesson_metadata;module_high_risk;module_low_content_overlap;module_low_coverage;module_low_nepali_script,English-EN,Physics-EN,1,1,English-EN,Physics-EN,formula_or_symbolic;latin_only_nepali;lesson_metadata;module_high_risk;module_low_content_overlap;module_low_coverage;module_low_nepali_script
EPAATH_grade1__english__basic_sounds_3_candidate_00001,EPAATH_grade1__english__basic_sounds_3,grade1/english/basic_sounds_3,1,english,english_language,overview,lesson/chapter,lesson/chapter,exact_record_key,high_exact_single_sentence,0,high,low_overlap_min;low_overlap_max;low_nepali_script;few_content_pairs;no_content_screen_pairs;many_latin_only_ne_pairs,low,likely_reject,latin_only_nepali;lesson_metadata;module_high_risk;module_low_content_overlap;module_low_coverage;module_low_nepali_script;placeholder_text,Basic Sounds (III),Unit is Under Construction,1,1,Basic Sounds (III),Unit is Under Construction,latin_only_nepali;lesson_metadata;module_high_risk;module_low_content_overlap;module_low_coverage;module_low_nepali_script;placeholder_text
EPAATH_grade1__english__basic_sounds_3_candidate_00002,EPAATH_grade1__english__basic_sounds_3,grade1/english/basic_sounds_3,1,english,english_language,overview,lesson/levelname,lesson/levelname,exact_record_key,low_shared_text,0,high,low_overlap_min;low_overlap_max;low_nepali_script;few_content_pairs;no_content_screen_pairs;many_latin_only_ne_pairs,low,likely_reject,identical_text;latin_only_nepali;lesson_metadata;module_high_risk;module_low_content_overlap;module_low_coverage;module_low_nepali_script,Level 1,Level 1,1,1,Level 1,Level 1,identical_text;latin_only_nepali;lesson_metadata;module_high_risk;module_low_content_overlap;module_low_coverage;module_low_nepali_script
EPAATH_grade1__english__basic_sounds_3_candidate_00003,EPAATH_grade1__english__basic_sounds_3,grade1/english/basic_sounds_3,1,english,english_language,overview,lesson/objective/description/purpose,lesson/objective/description/purpose,exact_record_key,high_exact_single_sentence,0,high,low_overlap_min;low_overlap_max;low_nepali_script;few_content_pairs;no_content_screen_pairs;many_latin_only_ne_pairs,low,likely_reject,latin_only_nepali;lesson_metadata;module_high_risk;module_low_content_overlap;module_low_coverage;module_low_nepali_script;placeholder_text,To recognize sounds of letters and read words starting from them or words containing the letters,This chapter is in grade 2-6 and is under construction.,1,1,To recognize sounds of letters and read words starting from them or words containing the letters,This chapter is in grade 2-6 and is under construction.,latin_only_nepali;lesson_metadata;module_high_risk;module_low_content_overlap;module_low_coverage;module_low_nepali_script;placeholder_text
EPAATH_grade1__english__basic_sounds_3_candidate_00004,EPAATH_grade1__english__basic_sounds_3,grade1/english/basic_sounds_3,1,english,english_language,overview,lesson/objective/title,lesson/objective/title,exact_record_key,high_exact_single_sentence,0,high,low_overlap_min;low_overlap_max;low_nepali_script;few_content_pairs;no_content_screen_pairs;many_latin_only_ne_pairs,low,likely_reject,formula_or_symbolic;latin_only_nepali;lesson_metadata;module_high_risk;module_low_content_overlap;module_low_coverage;module_low_nepali_script,Objectives:,"Objective: By the end of this lesson, you will be able to",1,1,Objectives:,"Objective: By the end of this lesson, you will be able to",formula_or_symbolic;latin_only_nepali;lesson_metadata;module_high_risk;module_low_content_overlap;module_low_coverage;module_low_nepali_script
EPAATH_grade1__english__basic_sounds_3_candidate_00005,EPAATH_grade1__english__basic_sounds_3,grade1/english/basic_sounds_3,1,english,english_language,overview,lesson/subject,lesson/subject,exact_record_key,high_exact_single_sentence,0,high,low_overlap_min;low_overlap_max;low_nepali_script;few_content_pairs;no_content_screen_pairs;many_latin_only_ne_pairs,low,likely_reject,latin_only_nepali;lesson_metadata;module_high_risk;module_low_content_overlap;module_low_coverage;module_low_nepali_script,English,Science,1,1,English,Science,latin_only_nepali;lesson_metadata;module_high_risk;module_low_content_overlap;module_low_coverage;module_low_nepali_script
EPAATH_grade1__english__basic_sounds_3_candidate_00006,EPAATH_grade1__english__basic_sounds_3,grade1/english/basic_sounds_3,1,english,english_language,overview,lesson/topic,lesson/topic,exact_record_key,high_exact_single_sentence,0,high,low_overlap_min;low_overlap_max;low_nepali_script;few_content_pairs;no_content_screen_pairs;many_latin_only_ne_pairs,low,likely_reject,formula_or_symbolic;latin_only_nepali;lesson_metadata;module_high_risk;module_low_content_overlap;module_low_coverage;module_low_nepali_script,English-EN,Physics-EN,1,1,English-EN,Physics-EN,formula_or_symbolic;latin_only_nepali;lesson_metadata;module_high_risk;module_low_content_overlap;module_low_coverage;module_low_nepali_script
EPAATH_grade1__english__friends_and_festivals_candidate_00004,EPAATH_grade1__english__friends_and_festivals,grade1/english/friends_and_festivals,1,english,english_language,overview,lesson/objective/title,lesson/objective/title,exact_record_key,high_exact_single_sentence,65,medium,low_overlap_min;low_overlap_max,low,likely_reject,formula_or_symbolic;lesson_metadata;module_low_coverage,Objectives:,उद्देश्य:,1,1,Objectives:,उद्देश्य:,formula_or_symbolic;lesson_metadata;module_low_coverage
EPAATH_grade1__english__friends_and_festivals_candidate_00006,EPAATH_grade1__english__friends_and_festivals,grade1/english/friends_and_festivals,1,english,english_language,overview,lesson/topic,lesson/topic,exact_record_key,high_exact_single_sentence,65,medium,low_overlap_min;low_overlap_max,low,likely_reject,formula_or_symbolic;lesson_metadata;module_low_coverage,English-EN,विज्ञान-ने,1,1,English-EN,विज्ञान-ने,formula_or_symbolic;lesson_metadata;module_low_coverage
EPAATH_grade1__english__i_likee_to_play_candidate_00001,EPAATH_grade1__english__i_likee_to_play,grade1/english/i_likee_to_play,1,english,english_language,overview,lesson/chapter,lesson/chapter,exact_record_key,high_exact_single_sentence,35,high,low_overlap_min;low_overlap_max,low,likely_reject,lesson_metadata;module_high_risk;module_low_coverage,I like to play,कुराकानी र जानकारी,1,1,I like to play,कुराकानी र जानकारी,lesson_metadata;module_high_risk;module_low_coverage
EPAATH_grade1__english__i_likee_to_play_candidate_00002,EPAATH_grade1__english__i_likee_to_play,grade1/english/i_likee_to_play,1,english,english_language,overview,lesson/levelname,lesson/levelname,exact_record_key,high_exact_single_sentence,35,high,low_overlap_min;low_overlap_max,low,likely_reject,lesson_metadata;module_high_risk;module_low_coverage,Grade 1,कक्षा १,1,1,Grade 1,कक्षा १,lesson_metadata;module_high_risk;module_low_coverage
EPAATH_grade1__english__i_likee_to_play_candidate_00003,EPAATH_grade1__english__i_likee_to_play,grade1/english/i_likee_to_play,1,english,english_language,overview,lesson/objective/description/purpose,lesson/objective/description/purpose,exact_record_key,high_exact_single_sentence,35,high,low_overlap_min;low_overlap_max,low,likely_reject,lesson_metadata;module_high_risk;module_low_coverage,Express your own likes and dislikes (“I like ...” “I don’t like….”),दैनिक जीवनमा प्रयोग हुने सञ्चारका माध्यमहरुको नाम बताउन,1,1,Express your own likes and dislikes (“I like ...” “I don’t like….”),दैनिक जीवनमा प्रयोग हुने सञ्चारका माध्यमहरुको नाम बताउन,lesson_metadata;module_high_risk;module_low_coverage
EPAATH_grade1__english__i_likee_to_play_candidate_00004,EPAATH_grade1__english__i_likee_to_play,grade1/english/i_likee_to_play,1,english,english_language,overview,lesson/objective/title,lesson/objective/title,exact_record_key,low_shared_text,35,high,low_overlap_min;low_overlap_max,low,likely_reject,formula_or_symbolic;identical_text;latin_only_nepali;lesson_metadata;module_high_risk;module_low_coverage,Objectives:,Objectives:,1,1,Objectives:,Objectives:,formula_or_symbolic;identical_text;latin_only_nepali;lesson_metadata;module_high_risk;module_low_coverage
EPAATH_grade1__english__i_likee_to_play_candidate_00005,EPAATH_grade1__english__i_likee_to_play,grade1/english/i_likee_to_play,1,english,english_language,overview,lesson/subject,lesson/subject,exact_record_key,high_exact_single_sentence,35,high,low_overlap_min;low_overlap_max,low,likely_reject,lesson_metadata;module_high_risk;module_low_coverage,English,सजीव र निर्जीव,1,1,English,सजीव र निर्जीव,lesson_metadata;module_high_risk;module_low_coverage
EPAATH_grade1__english__i_likee_to_play_candidate_00006,EPAATH_grade1__english__i_likee_to_play,grade1/english/i_likee_to_play,1,english,english_language,overview,lesson/topic,lesson/topic,exact_record_key,high_exact_single_sentence,35,high,low_overlap_min;low_overlap_max,low,likely_reject,lesson_metadata;module_high_risk;module_low_coverage,English,सजीव र निर्जीव,1,1,English,सजीव र निर्जीव,lesson_metadata;module_high_risk;module_low_coverage
EPAATH_grade1__english__identifying_letters_i_candidate_00001,EPAATH_grade1__english__identifying_letters_i,grade1/english/identifying_letters_i,1,english,english_language,overview,lesson/chapter,lesson/chapter,exact_record_key,high_exact_single_sentence,35,high,low_overlap_min;low_overlap_max,low,likely_reject,lesson_metadata;module_high_risk;module_low_coverage,Identifying Letters (A to H),झूटो नबोल,1,1,Identifying Letters (A to H),झूटो नबोल,lesson_metadata;module_high_risk;module_low_coverage
EPAATH_grade1__english__identifying_letters_i_candidate_00002,EPAATH_grade1__english__identifying_letters_i,grade1/english/identifying_letters_i,1,english,english_language,overview,lesson/objective/description/purpose,lesson/objective/description/purpose,exact_record_key,high_exact_single_sentence,35,high,low_overlap_min;low_overlap_max,low,likely_reject,lesson_metadata;module_high_risk;module_low_coverage,To identify letters from A to H,सरल कथा हाउभाउसहित पढ्न,1,1,To identify letters from A to H,सरल कथा हाउभाउसहित पढ्न,lesson_metadata;module_high_risk;module_low_coverage
EPAATH_grade1__english__identifying_letters_i_candidate_00003,EPAATH_grade1__english__identifying_letters_i,grade1/english/identifying_letters_i,1,english,english_language,overview,lesson/objective/title,lesson/objective/title,exact_record_key,high_exact_single_sentence,35,high,low_overlap_min;low_overlap_max,low,likely_reject,formula_or_symbolic;latin_only_nepali;lesson_metadata;module_high_risk;module_low_coverage,Objectives:,"Objective: By the end of this lesson, you will be able to",1,1,Objectives:,"Objective: By the end of this lesson, you will be able to",formula_or_symbolic;latin_only_nepali;lesson_metadata;module_high_risk;module_low_coverage
EPAATH_grade1__english__identifying_letters_i_candidate_00004,EPAATH_grade1__english__identifying_letters_i,grade1/english/identifying_letters_i,1,english,english_language,overview,lesson/subject,lesson/subject,exact_record_key,high_exact_single_sentence,35,high,low_overlap_min;low_overlap_max,low,likely_reject,lesson_metadata;module_high_risk;module_low_coverage,English,नेपाली,1,1,English,नेपाली,lesson_metadata;module_high_risk;module_low_coverage
EPAATH_grade1__english__identifying_letters_sec_candidate_00003,EPAATH_grade1__english__identifying_letters_sec,grade1/english/identifying_letters_sec,1,english,english_language,overview,lesson/objective/title,lesson/objective/title,exact_record_key,high_exact_single_sentence,60,medium,low_overlap_min,low,likely_reject,formula_or_symbolic;latin_only_nepali;lesson_metadata,Objectives:,"Objective: By the end of this lesson, you will be able to",1,1,Objectives:,"Objective: By the end of this lesson, you will be able to",formula_or_symbolic;latin_only_nepali;lesson_metadata
EPAATH_grade1__english__identifying_letters_third_candidate_00003,EPAATH_grade1__english__identifying_letters_third,grade1/english/identifying_letters_third,1,english,english_language,overview,lesson/objective/title,lesson/objective/title,exact_record_key,high_exact_single_sentence,60,medium,low_overlap_min,low,likely_reject,formula_or_symbolic;latin_only_nepali;lesson_metadata,Objectives:,"Objective: By the end of this lesson, you will be able to",1,1,Objectives:,"Objective: By the end of this lesson, you will be able to",formula_or_symbolic;latin_only_nepali;lesson_metadata
EPAATH_grade1__english__lines_and_curves_candidate_00004,EPAATH_grade1__english__lines_and_curves,grade1/english/lines_and_curves,1,english,english_language,overview,lesson/objective/title,lesson/objective/title,exact_record_key,high_exact_single_sentence,60,medium,,low,likely_reject,formula_or_symbolic;lesson_metadata,Objectives:,उद्देश्य:,1,1,Objectives:,उद्देश्य:,formula_or_symbolic;lesson_metadata
EPAATH_grade1__english__lines_and_curves_candidate_00006,EPAATH_grade1__english__lines_and_curves,grade1/english/lines_and_curves,1,english,english_language,overview,lesson/topic,lesson/topic,exact_record_key,high_exact_single_sentence,60,medium,,low,likely_reject,formula_or_symbolic;lesson_metadata,Arithmetic-EN,अङ्क गणित-ने,1,1,Arithmetic-EN,अङ्क गणित-ने,formula_or_symbolic;lesson_metadata
EPAATH_grade1__english__numbers_candidate_00001,EPAATH_grade1__english__numbers,grade1/english/numbers,1,english,english_language,overview,lesson/levelname,lesson/levelname,exact_record_key,low_shared_text,15,high,low_overlap_max;low_nepali_script;few_content_pairs;many_identical_pairs;many_latin_only_ne_pairs,low,likely_reject,identical_text;latin_only_nepali;lesson_metadata;module_high_risk;module_low_content_overlap;module_low_coverage;module_low_nepali_script,Level 1,Level 1,1,1,Level 1,Level 1,identical_text;latin_only_nepali;lesson_metadata;module_high_risk;module_low_content_overlap;module_low_coverage;module_low_nepali_script
EPAATH_grade1__english__numbers_candidate_00002,EPAATH_grade1__english__numbers,grade1/english/numbers,1,english,english_language,overview,lesson/objective/title,lesson/objective/title,exact_record_key,low_shared_text,15,high,low_overlap_max;low_nepali_script;few_content_pairs;many_identical_pairs;many_latin_only_ne_pairs,low,likely_reject,formula_or_symbolic;identical_text;latin_only_nepali;lesson_metadata;module_high_risk;module_low_content_overlap;module_low_coverage;module_low_nepali_script,Objectives:,Objectives:,1,1,Objectives:,Objectives:,formula_or_symbolic;identical_text;latin_only_nepali;lesson_metadata;module_high_risk;module_low_content_overlap;module_low_coverage;module_low_nepali_script
EPAATH_grade1__english__numbers_candidate_00003,EPAATH_grade1__english__numbers,grade1/english/numbers,1,english,english_language,overview,lesson/subject,lesson/subject,exact_record_key,low_shared_text,15,high,low_overlap_max;low_nepali_script;few_content_pairs;many_identical_pairs;many_latin_only_ne_pairs,low,likely_reject,identical_text;latin_only_nepali;lesson_metadata;module_high_risk;module_low_content_overlap;module_low_coverage;module_low_nepali_script,English,English,1,1,English,English,identical_text;latin_only_nepali;lesson_metadata;module_high_risk;module_low_content_overlap;module_low_coverage;module_low_nepali_script
EPAATH_grade1__english__numbers_candidate_00004,EPAATH_grade1__english__numbers,grade1/english/numbers,1,english,english_language,overview,lesson/topic,lesson/topic,exact_record_key,low_shared_text,15,high,low_overlap_max;low_nepali_script;few_content_pairs;many_identical_pairs;many_latin_only_ne_pairs,low,likely_reject,formula_or_symbolic;identical_text;latin_only_nepali;lesson_metadata;module_high_risk;module_low_content_overlap;module_low_coverage;module_low_nepali_script,English-EN,English-EN,1,1,English-EN,English-EN,formula_or_symbolic;identical_text;latin_only_nepali;lesson_metadata;module_high_risk;module_low_content_overlap;module_low_coverage;module_low_nepali_script
EPAATH_grade1__english__recognizing_and_matching_shapes_candidate_00001,EPAATH_grade1__english__recognizing_and_matching_shapes,grade1/english/recognizing_and_matching_shapes,1,english,english_language,overview,lesson/levelname,lesson/levelname,exact_record_key,low_shared_text,0,high,low_overlap_max;low_nepali_script;few_content_pairs;no_content_screen_pairs;many_identical_pairs;many_latin_only_ne_pairs,low,likely_reject,identical_text;latin_only_nepali;lesson_metadata;module_high_risk;module_low_content_overlap;module_low_coverage;module_low_nepali_script,Level 1,Level 1,1,1,Level 1,Level 1,identical_text;latin_only_nepali;lesson_metadata;module_high_risk;module_low_content_overlap;module_low_coverage;module_low_nepali_script
EPAATH_grade1__english__recognizing_and_matching_shapes_candidate_00002,EPAATH_grade1__english__recognizing_and_matching_shapes,grade1/english/recognizing_and_matching_shapes,1,english,english_language,overview,lesson/objective/title,lesson/objective/title,exact_record_key,low_shared_text,0,high,low_overlap_max;low_nepali_script;few_content_pairs;no_content_screen_pairs;many_identical_pairs;many_latin_only_ne_pairs,low,likely_reject,formula_or_symbolic;identical_text;latin_only_nepali;lesson_metadata;module_high_risk;module_low_content_overlap;module_low_coverage;module_low_nepali_script,Objectives:,Objectives:,1,1,Objectives:,Objectives:,formula_or_symbolic;identical_text;latin_only_nepali;lesson_metadata;module_high_risk;module_low_content_overlap;module_low_coverage;module_low_nepali_script
EPAATH_grade1__english__recognizing_and_matching_shapes_candidate_00003,EPAATH_grade1__english__recognizing_and_matching_shapes,grade1/english/recognizing_and_matching_shapes,1,english,english_language,overview,lesson/subject,lesson/subject,exact_record_key,low_shared_text,0,high,low_overlap_max;low_nepali_script;few_content_pairs;no_content_screen_pairs;many_identical_pairs;many_latin_only_ne_pairs,low,likely_reject,identical_text;latin_only_nepali;lesson_metadata;module_high_risk;module_low_content_overlap;module_low_coverage;module_low_nepali_script,English,English,1,1,English,English,identical_text;latin_only_nepali;lesson_metadata;module_high_risk;module_low_content_overlap;module_low_coverage;module_low_nepali_script
EPAATH_grade1__english__recognizing_and_matching_shapes_candidate_00004,EPAATH_grade1__english__recognizing_and_matching_shapes,grade1/english/recognizing_and_matching_shapes,1,english,english_language,overview,lesson/topic,lesson/topic,exact_record_key,low_shared_text,0,high,low_overlap_max;low_nepali_script;few_content_pairs;no_content_screen_pairs;many_identical_pairs;many_latin_only_ne_pairs,low,likely_reject,formula_or_symbolic;identical_text;latin_only_nepali;lesson_metadata;module_high_risk;module_low_content_overlap;module_low_coverage;module_low_nepali_script,English-EN,English-EN,1,1,English-EN,English-EN,formula_or_symbolic;identical_text;latin_only_nepali;lesson_metadata;module_high_risk;module_low_content_overlap;module_low_coverage;module_low_nepali_script
EPAATH_grade1__english__short_vowels_candidate_00001,EPAATH_grade1__english__short_vowels,grade1/english/short_vowels,1,english,english_language,overview,lesson/chapter,lesson/chapter,exact_record_key,high_exact_single_sentence,0,high,low_overlap_min;low_overlap_max;low_nepali_script;few_content_pairs;no_content_screen_pairs;many_latin_only_ne_pairs,low,likely_reject,latin_only_nepali;lesson_metadata;module_high_risk;module_low_content_overlap;module_low_coverage;module_low_nepali_script;placeholder_text,Short Vowel Sounds,Unit is Under Construction,1,1,Short Vowel Sounds,Unit is Under Construction,latin_only_nepali;lesson_metadata;module_high_risk;module_low_content_overlap;module_low_coverage;module_low_nepali_script;placeholder_text
EPAATH_grade1__english__short_vowels_candidate_00002,EPAATH_grade1__english__short_vowels,grade1/english/short_vowels,1,english,english_language,overview,lesson/levelname,lesson/levelname,exact_record_key,low_shared_text,0,high,low_overlap_min;low_overlap_max;low_nepali_script;few_content_pairs;no_content_screen_pairs;many_latin_only_ne_pairs,low,likely_reject,identical_text;latin_only_nepali;lesson_metadata;module_high_risk;module_low_content_overlap;module_low_coverage;module_low_nepali_script,Level 1,Level 1,1,1,Level 1,Level 1,identical_text;latin_only_nepali;lesson_metadata;module_high_risk;module_low_content_overlap;module_low_coverage;module_low_nepali_script
EPAATH_grade1__english__short_vowels_candidate_00003,EPAATH_grade1__english__short_vowels,grade1/english/short_vowels,1,english,english_language,overview,lesson/objective/description/purpose,lesson/objective/description/purpose,exact_record_key,high_exact_single_sentence,0,high,low_overlap_min;low_overlap_max;low_nepali_script;few_content_pairs;no_content_screen_pairs;many_latin_only_ne_pairs,low,likely_reject,latin_only_nepali;lesson_metadata;module_high_risk;module_low_content_overlap;module_low_coverage;module_low_nepali_script;placeholder_text,To learn that there are five vowels,This chapter is in grade 2-6 and is under construction.,1,1,To learn that there are five vowels,This chapter is in grade 2-6 and is under construction.,latin_only_nepali;lesson_metadata;module_high_risk;module_low_content_overlap;module_low_coverage;module_low_nepali_script;placeholder_text
