pair_id,en_source_id,ne_source_id,en_sentence_index,ne_sentence_index,en_text,ne_text,alignment_score,manual_label,reviewer,notes
EDU_0001_EDU_0002_00031,EDU_0001,EDU_0002,335,30,"5 is in the place of hundred
so, place value of 5 is 5 × 100= 500.","If 12 is divided by 2, quotient is 6.
Again if 6 is divided by 2, quotient is 3.
Therefore, 12 = 2 x 2 x 3
Example 1

My Mathematics, Grade 4
25
Teaching Instructions:
What are the factors of 36?",0.6445,,,
EDU_0001_EDU_0002_00032,EDU_0001,EDU_0002,347,31,iv.,"If 36 is divided by 2, quotient is 18.
If 18 is divided by 2, quotient is 9.
9 is not divisible by 2. 3 is greater prime number than 2.
If 9 is divided by 3, quotient is 3.
Therefore, 36 = 2 x 2 x 3 x 3
2, 2, 3 and 3 are the factors of 36.
1.
Find the factors of the following:

(a) 18

(b) 24
(c) 32
(d) 48

(e) 72

(f) 91
(g) 95
(h) 64
Divide numbers by prime numbers such as 2, 3, 5, 7, 11, 13 etc. to make
students find the prime factors. Do practice more exercises for factorization.
2 36
2 18
3 9

3

36

2 x 18
2 x 9
3 x 3
Example 2
Exercise 2.8

26
My Mathematics, Grade 4
3.1 Subtraction
Study, discuss and learn:
A factory manufactured exercise books of amount Rs. 65, 325 in a
day, and sold the exercise books of amount Rs. 36, 476. Exercise
books of how much amount left?",0.6445,,,
EDU_0001_EDU_0002_00033,EDU_0001,EDU_0002,359,32,Write the standard form of the given expanded form.,"Total exercise
books of Rs.65,325
Sold exercise books of
Rs. 36,476
Left exercise
books
3
Basic Operation in
Mathematics
At first, subtract the number of
ones place. We cannot subtract 6
from 5. So, we borrow 1 ten from 2
tens. 1 ten means 10 ones. 10 ones
and 5 ones make 15 ones. Now
subtract 6 ones from 15 ones then
we get 9 ones.
1 ten is borrowed from 2 tens. So,
only 1 ten is remained in ten's
place. 7 tens cannot be subtracted
from 1 ten. So, borrow 1 hundred
from hundred's place. 1 hundred
means 10 tens. 10 tens and 1 ten
makes 11 tens. Now, subtract 7
tens from 11 tens, we get 4 tens.

Ten
Thousand Hundred Ten
One

6
5
3
2
5

- 3
6
4
7
6

9
1
15

6
5
3
2
5

- 3
6
4
7
6

4
9
1
2
thousand
There is only 2 hundreds remain in hundred's place. Borrow 1
thousand from 5 thousands because 4 hundreds cannot be subtracted
from 2 hundreds. 1 thousand means 10 hundreds. 10 hundreds and 2

My Mathematics, Grade 4
27
hundreds make 12 hundreds. Now, subtract
4 hundreds from 12 hundreds, we get 8
hundreds.
There is only 4 thousands remaining in
thousad's place. 6 thousands cannot be
subtracted from 4 thousands. So, borrow
1 ten thousand from 6 ten thousands. 1
ten thousand means 10 thousands. 10
thousands and 4 thousands makes 14
thousands. Then subtract 6 thousands from
14 thousands, we get 8 thousands.
There is 5 ten thousands remaining in
ten thousand's place. Now, subtract 3 ten
thousands from 5 ten thousands we get 2
ten thousands.
3 7 2 5 6 8
- 2 8 4 7 8 9
8 7 7 7 9
Example 1

12
11
15

4
2
1

6
5
3
2
5

- 3
6
4
7
6

8
4
9

14
12
11
15

5
4
2
1

6
5
3
2
5

- 3
6
4
7
6

8
8
4
9

14
12
11
15

5
4
2
1

6
5
3
2
5

- 3
6
4
7
6

2
8
8
4
9
Subtract.
372568 — 284789
First, subtract the numbers in vertical form as
above and write the answer horizontally.
372568 — 284789 = 87779
Method for checking answer.
When 284789 is subtracted from 372568, answer is 87779. Now,
add 87779 and 284789.

8 7 7 7 9
+ 2 8 4 7 8 9
3 7 2 5 6 8
We get 372568 by adding the answer 87779 and the subtracted
number 284789. So, the above subtraction is correct. In this way,
we can check the answer.

28
My Mathematics, Grade 4
Let the student practise substraction of problems upto six digit numbers.
3.2 Daily life problems related to subtraction
Read and learn subtraction
Pema had Rs. 28, 538. She bought a television at Rs. 25, 283. How
much rupees remained with her?",0.6445,,,
EDU_0001_EDU_0002_00034,EDU_0001,EDU_0002,371,33,iii.,"Here,

Total amount = Rs. 28, 538
Rs. 28538
Spent amount = Rs. 25, 283
- Rs. 25283
Remaining amount = ?",0.6444,,,
EDU_0001_EDU_0002_00035,EDU_0001,EDU_0002,383,34,"He
received a total of sixty-five lakhs fifty-three thousand five
hundred and three rupees.","Rs. 3255

Rs. 3,255 remained with Pema.
1. Ten thousand Thousand
Hundred
Ten
One

9
2
3
1
5
–
7
4
5
7
6
2. Ten thousand Thousand
Hundred
Ten
One

8
3
5
7
6
–
4
5
3
9
6

3. 5 7 2 8 9 7
4. 3 7 2 9 5 4
- 3 5 2 8 9 0

- 1 7 2 8 6 8
5. 8 7 5 4 3 6
6. 6 3 7 5 4 6
- 2 2 9 7 5 8

- 2 9 9 6 7 9
Exercise 3.1
Teaching Instructions:
Example 1

My Mathematics, Grade 4
29
Shivani thinks to start a cottage industry. She requires Rs. 1, 68, 539 for
that but she has only Rs. 1, 59, 847. How much money will she require?",0.6444,,,
EDU_0001_EDU_0002_00036,EDU_0001,EDU_0002,395,35,"Put the comma in the appropriate position in the follow-
ing numerals and write them in words.","Here,

Required money = Rs. 1, 68, 539

Available money = Rs. 1, 59, 847

Insufficient money = ?",0.9894,,,
EDU_0001_EDU_0002_00037,EDU_0001,EDU_0002,407,36,"Eighty eight lakh fifty five thousand four hundred and

forty two.","Rs. 1, 6 8, 5 3 9
— Rs. 1, 5 9, 8 4 7

Rs. 8, 6 9 2
Hence, insufficient money = Rs. 8, 692
1.
Kajol Khatoon had Rs. 1, 75, 000. If she bought a motorcycle at

Rs. 1,20, 775, how much money remained with her?",0.6444,,,
EDU_0001_EDU_0002_00038,EDU_0001,EDU_0002,420,37,xii.,"2.
Population of a municipality was 3, 58, 238. If there were 1, 90, 789

males, how many females were there?",0.6445,,,
EDU_0001_EDU_0002_00039,EDU_0001,EDU_0002,432,38,i.,"3.
Barsha's annual family income is Rs. 2, 10, 000 and annual expense

is Rs. 1, 92, 832. How much is the annual saving?",0.6445,,,
EDU_0001_EDU_0002_00040,EDU_0001,EDU_0002,444,39,Each group will send one student to play.,"4.
A village development committee's expenditure was only

Rs. 7, 89, 569 out of total annual budget of Rs. 9, 00, 000. How

much budget was left?",0.6445,,,
EDU_0001_EDU_0002_00041,EDU_0001,EDU_0002,456,40,"My Mathematics, Grade 4
37
iv.","5.
Krishna wrote number 6, 54, 321 and Srijana wrote number 9, 85, 738.

Find the difference between these numbers.
6.
Make two problems related to subtraction of six digit numbers as

given above. Exchange the problems among your friends and solve.
Ask the students to make simple and daily life related subtraction problems,
and solve them.
Example 2
Teaching Instructions:
Exercise 3.2

30
My Mathematics, Grade 4
3.3 Multiplication
Multiplication of three or more than three digit numbers by three
digit number.
Read, discuss and learn.
Then, add the products of both
2 6 8

x 2 0
5 3 6 0
2 6 8

x 2 3
8 0 4
+ 5 3
6 0
6 1 6 4
256 oranges
256 oranges
256 oranges
256 oranges
How many oranges will be there if four baskets oranges are put together?",0.6444,,,
EDU_0001_EDU_0002_00042,EDU_0001,EDU_0002,468,41,"Thus, Round
off is the process of writing any other numbers into numerals
that end in zero, such as 20,30,......,100,200,300......","Total oranges = 256 + 256 + 256 + 256 = 1024 oranges
Now, let's multiply 256 by 4.
256
x 4
1024
Multiply:

2 6 8

x 2 3
Example 1
At first multiply by
the number of ones
place
2 6 8

x 3
804
Then multiply by the number of
tens place. There is 2 in ten's place.
2 ten means 20 ones. So,

multiply by 20.
Adding any nubmer four times and
multiplying it by 4 is the same.

My Mathematics, Grade 4
31
Multiply:
3 7 2 8
x 125
In short method

3 7 2 8

x 1 2 5
1 8 6 4 0
7 4 5 6 0
+ 3 7 2 8 0 0
4 6 6 0 0 0
Multiply:
1. 105
2. 370
3. 989

x 80

x 27

x 17
4. 3255
5. 4760
6. 3926
x 120
x 256
x 376
7. 7904 x 832
8. 9743 x 984
At first, multiply by the number of ones place
Then, multiply by the number of tens place.
There is 2 in tens' place. 2 ten means 20
ones.
So, multiply by 20.

There is 1 in hundreds' place. So, multiply
by 100.

Then, add the three products.
3 7 2 8

x 5
1 8 6 4 0
3 7 2 8

x 1 0 0
3 7 2 8 0 0
3 7 2 8

x 2 0
7 4 5 6 0
1 8 6 4 0
7 4 5 6 0
+ 3 7 2 8 0 0

4 6 6 0 0 0
Note: Put one, two and three zeros in the product
of any number as multiply any number by 10,
100 and 1000 respectively. For example, to
multiply 20 by 8, multiply 2 by 8 and put one
zero in the right of the product.
Example 2
In the beginning, let the students practise separate multiplication by
giving sufficient exercise as above. Then, introduce short method. Use
multiplication table to teach multiplication.
Exercise 3.3
Teaching Instructions:

32
My Mathematics, Grade 4
3.4 Daily life problems related to multiplication
Read, discuss and learn.
If a match box contains 56 sticks, how many sticks will be there in
312 such match boxes?",0.6444,,,
EDU_0001_EDU_0002_00043,EDU_0001,EDU_0002,480,42,"However, we round off
it to 50.","Here,
Sticks in one match box = 56
Number of match boxes = 312
Total number of sticks = ?",0.6444,,,
EDU_0001_EDU_0002_00044,EDU_0001,EDU_0002,492,43,"Example 8
9285 to nearest hundred.","3 1 2

x 5 6
1 8 7 2
1 5 6 0 0
1 7 4 7 2
Hence, there are 17, 472 sticks in the match boxes.
Exercise 3.4
1.
A book has184 pages. How many pages will be there in 35 such

books?",0.6444,,,
EDU_0001_EDU_0002_00045,EDU_0001,EDU_0002,505,44,The ten below 832 is ……… and above 832 is …………..,"2.
If a television costs Rs. 25, 500, how much will 120 such televisions

cost?",0.8438,,,
EDU_0001_EDU_0002_00046,EDU_0001,EDU_0002,517,45,You have Rs.,"3.
A box contains 105 sticks chalk. How many sticks will there in

503 such boxes?",0.6445,,,
EDU_0001_EDU_0002_00047,EDU_0001,EDU_0002,529,46,"You wish to share them equally among
five close friends.","4.
Make 2 word problems as given above, exchange problems

with your friends and solve.
Tell the students to make daily life related problems as given above, which
include multiplication of three or more than three digit numbers by up to
three digit numbers. Ask them to solve.
Adding 312, repeated 56 times
means multiplying 312 by 56.
Exercise 3.4
Example 1
Teaching Instructions:

My Mathematics, Grade 4
33
3.5 Division
Read, discuss and learn
If 768 oranges are divided equally among 96 persons, how many
oranges will each person get?",0.6445,,,
EDU_0001_EDU_0002_00048,EDU_0001,EDU_0002,541,47,"It can be written in place value table as:
Count the given base 10 blocks, fill in the numbers in the place
value table, and calculate the sum.","Repeated subtraction
Division method

7 6 8

- 9 6
1st time

6 7 2

- 9 6
2nd time

5 7 6

- 9 6
3rd time

4 8 0

- 9 6
4th time

3 8 4

- 9 6
5th time

2 8 8

- 9 6
6th time

1 9 2

- 9 6
7th time

9 6

- 9 6
8th time

0

9 6
7 6 8
1

- 9 6

6 7 2
1

- 9 6

5 7 6
1

- 9 6

4 8 0
1

- 9 6

3 8 4
1

- 9 6

2 8 8
1

- 9 6

1 9 2
1

- 9 6

9 6
1

- 9 6

0
_
Thus, subtracting 96 from 768 repeatedly eight times means dividing
768 into 96 equal parts results 8 in each part. In other words, 768
divided by 96 gives quotient 8.
So, 96)768(8

- 768

0
Therefore, division is a short form of regular subtraction of the same number.

34
My Mathematics, Grade 4
To check whether the answer is correct
or not, multiply the quotient by divisor.

4 7 3

x 3 6
2 8 3 8
multiplying by 6.
+ 1 4 1 9 0
multiplying by 30.
1 7 0 2 8
adding to products.
473 x 36 = 17028
Thus, Quotient x Divisor = Dividend. So, the answer is correct.
Teach division through discussion as given in the example 1, and tell the
students to write in short form in exercise book.
Division of five digit number by two digit number (without
remainder)
Read, discuss and learn.
17028 ÷ 36
The divisor consists of two digits. The first two digit of dividend is 17. 17
is smaller than the divisor. So, divide the first three digits 170 of dividend.

473
36 17028
– 144

262
– 252

108
– 108

0
Method of guessing division times
Think, how many times 17 of 170 is divisible
by 3 of 36. Five times. 170 is divisible by 36
five times or less one time (four times).
Let's check. 36 x 5 = 180 Not divisible.

36 x 4 = 144 Divisible.
_
→
→
→
Example 1
The rounded off number of divisor 36 to the nearest ten is 40.
40 x 4 = 160, it is near to 170. So, let us multiply 36 by 4.
Teaching Instructions:

My Mathematics, Grade 4
35
Divide and check answer.
1. 540 ÷ 18
2. 1020 ÷ 15
3. 12805 ÷ 65
4. 10530 ÷ 78
5. 14790 ÷ 85
6. 44426 ÷97
Make more exercises of division of five digit number by two digit number (without
remainder) as given above, and let students solve and check the answer.
Division of five digit number by two digit number (with remainder)
Read, discuss and learn.
Let's divide 98194 by 74.
The divisor consists of two digits. The first two digit of dividend is 98,
which is greater than the divisor 74. So, divide 98 by 74. Let's guess
by writing 74 to the nearest ten i.e. 70.
Now,
70 x ?",0.6444,,,
EDU_0001_EDU_0002_00049,EDU_0001,EDU_0002,553,48,"Price of projector Price of laptop
Rs= 28,345
Rs =39,676
Total size
Rs.","= near to 98

70 x 1 = 70
Therefore,
74 x 1 = 74

70 x ?",0.9319,,,
EDU_0001_EDU_0002_00050,EDU_0001,EDU_0002,565,49,"2 6 6 2 8
Rs.","= 241

70 x 3 = 210
Therefore,
74 x 3 = 222

70 x ?",0.6444,,,
EDU_0001_EDU_0002_00051,EDU_0001,EDU_0002,577,50,"The
manufacturer sold 10,255 more copies in the second month.","= 199
near to 199

74 x 2 = 148
Therefore,
70 x ?",0.9372,,,
EDU_0001_EDU_0002_00052,EDU_0001,EDU_0002,590,51,iv.,"= 514
near to 514

70 x 7 = 490

74 x 7 = 518
which is greater.
Therefore,
74 x 6 = 444

Now, remainder = 70
Exercise 3.5
Teaching Instructions:

1326
74 98194
-
74

241

- 222

199

- 148

514

- 444

70
_

36
My Mathematics, Grade 4
In such a case, to check the answer, multiply the quotient and the
divisor and add the remainder.
1326 x 74 + 70 = 98194
Quotient x Divisor + Remainder = Dividend
If a dividend is not exactly divisible by the divisor,
Quotient x Divisor + Remainder = Dividend
Divide and check division
8367 ÷ 96
Division

87
96 8367
- 768

687

- 672

15 Remainder
_
Checking
87 x 96 + 15
8 7
x 9 6
5 2 2
+ 7 8 3 0
8 3 5 2
+ 1 5
8 3 6 7
Divide and check the answer:
1. 6370 ÷ 65
2. 5765 ÷ 69
3. 24050 ÷ 98
4. 33504 ÷ 73
5. 43200 ÷ 68
6. 62950 ÷ 92
7. 67012 ÷ 55
8. 93216 ÷ 98
Tell students to make more problems as given above and solve.
Example 1
Exercise 3.6
Quotient x Divisor + Remainder = Dividend, so the division is correct.
Teaching Instructions:

My Mathematics, Grade 4
37
Division of five digit number by three digit number
Read, discuss and learn.
What will be the quotient if 12850 is divided by 225?",0.6445,,,
EDU_0001_EDU_0002_00053,EDU_0001,EDU_0002,602,52,"15,280 from agriculture farm.","57
225 12850
- 1125

1600
-1575

25 Remainder
Therefore, quotient= 57
Remainder= 25
Checking the answer.
Quotient x Divisor + Remainder

57
x
225
+ 25

= 12850

= Dividend (So it is correct)
225
x 57
1575
+ 11250
12825
+25

12850
-
The divisor consists of three digits.
-
The first three digit of dividend is 128

which is lesser than the divisor. So,

divide the first four digit of dividend

1285 by 225
Let's guess.
225 x 4 = 900 which is less than 1285.
225 x 5 = 1125
225 x 6 = 1350 which is greater than
1285.
Again,
225 x ?",0.6445,,,
EDU_0001_EDU_0002_00054,EDU_0001,EDU_0002,614,53,"At what price and he sell the
Exercise

48

My Mathematics, Grade 4
computer?","= 1600
225 x 7 = 1575
_

38
My Mathematics, Grade 4
Divide and check
1. 1947÷205
2. 3583÷527
3. 24888 ÷ 366
4. 80835 ÷ 951
5. 61835 ÷ 305
6. 93108 ÷ 472
3.6 Daily life problems related to division
A bag factory can produce 125 bags in a day. How many days will
it take to produce 29375 bags?",0.6445,,,
EDU_0001_EDU_0002_00055,EDU_0001,EDU_0002,626,54,"Study the following table and answer
the questions that follow:
Senior citizens

Youth
Children
28,250
42,000
36,445

i.","Here,

29375 need to be divided into 125 parts.

235
125 29375

– 250

437

– 375

625

– 625

0
Thus, it will take 235 days to produce 29375 bags.
Divide and check
38590 ÷ 454
Division

85
454 38590
– 3632

2270
– 2270

0
Therefore, quotient = 85
Checking
454
x 85
2270
+ 36320
38590
85 x 454 = 38590, so it is correct
_
_
Example 1
Exercise 3.6
Example 1

My Mathematics, Grade 4
39
1.
5, 625 oranges are divided equally among 45 persons. How many

oranges will each person get?",0.6444,,,
EDU_0001_EDU_0002_00056,EDU_0001,EDU_0002,638,55,"There are 1726 entrance ticket sold from the ticket
counter till 11:00 AM.","2.
250 hens can be put in a cage. How many cages will be required

to put 4,750 hens?",0.9597,,,
EDU_0001_EDU_0002_00057,EDU_0001,EDU_0002,650,56,"Subtraction
The process of subtraction is explained using terms like
eliminating, taking out, and choosing out from a group of things.","3.
An aircraft flies 380 km per hour. How many hours will it take to

fly 15,200 km?",0.8555,,,
EDU_0001_EDU_0002_00058,EDU_0001,EDU_0002,662,57,"45,326 at the market.","4.
A sum of Rs. 5,830 donation is colleted from 265 students. If all

students donate equal amount, how much money will be donated

by each student?",0.6443,,,
EDU_0001_EDU_0002_00059,EDU_0001,EDU_0002,675,58,"39,576
Harinarayan’s Expenditure Remaining saving amount
Mathematically,
Rs.","5.
A typist can type 65 words in a minute. How many minutes will

she take to type 31,200 words?",0.9331,,,
EDU_0001_EDU_0002_00060,EDU_0001,EDU_0002,687,59,"Now the total hundred becomes 7+10=17 and
finally 5 is left in the place of ten thousand.","Get the students to make more word problems themselves related to
division as given above, and solve.
3.7 Simplification
Read, discuss and learn
There are 5 birds in a tree. After a while, 2 birds come in the tree.
Then, 3 birds fly away. How many birds will remain in the tree now?",0.6445,,,
EDU_0001_EDU_0002_00061,EDU_0001,EDU_0002,699,60,"Borrowing 1 ten
from the place of ten.","Exercise 3.7
Teaching Instructions:

40
My Mathematics, Grade 4
So,
5 + 2 - 3
= 7 - 3
Addition sign is in front, so addition is done first.
= 4
Hence, 4 birds are left in the tree.
Simplify:
65 - 25 + 17
= 40 + 17
= 57
What will be the remainder when the product of 5 times 10 is
deducted from 60?",0.6444,,,
EDU_0001_EDU_0002_00062,EDU_0001,EDU_0002,711,61,"42,500
Rs.","60 - 10 x 5
= 60 - 50
= 10
How can we write
this in mathematical
sentence?",0.6444,,,
EDU_0001_EDU_0002_00063,EDU_0001,EDU_0002,723,62,"43,000
Costs of article
Rs.","Need to add which came
to join and subtract those
which left.
There is minus sign in front, so subtraction is
done first and added as plus sign is there behind.
In the problem written in mathematical language having
the signs addition, subtraction and multiplication,
first we carry out the operation of multiplication, then
addition and subtraction at last.
Example 2
Example 1

My Mathematics, Grade 4
41
What will be the sum when 7 is added to the product of three times 15?",0.6444,,,
EDU_0001_EDU_0002_00064,EDU_0001,EDU_0002,735,63,"2
....","Here, Writing in mathematical sentance.
15 x 3 + 7
= 45 + 7
= 52
Simplify:
(18+22) - 20
= 40 - 20
= 20
Simplify.
70 + (8-2)
= 70 + 6
= 76
Thus, to simplify the problems
First do the operation of brackets.
Then, operation of multiplication.
And finally operation of addition or subtraction.
[Operation of small brackets ( ) folllowed by
subtraction.]
[Operation of small brackets ( ) followed by addition]
Example 3
Example 4
Example 5
(First multiplication followed by addi-
tion.)

42
My Mathematics, Grade 4
1. Simplify:

(i) 15 - 4 + 5
(ii) 36 + 45 - 55

(iii) 54 x 6 - 48
(iv) 7 x 15 + 15

(v) 15 + (16 - 6)
(vi) 30 - (7+4)

(vii) 40 - (7-2)
(viii)73 + (4+3)
2.
How much will it become when 45 is subtracted from the product

of 9 multiplied by 5?",0.6444,,,
EDU_0001_EDU_0002_00065,EDU_0001,EDU_0002,747,64,4383 collected in the piggy bank.,"3.
Rima had Rs. 5. Her mother gave her three times more the money

she had. How much money did she have altogether?",0.6443,,,
EDU_0001_EDU_0002_00066,EDU_0001,EDU_0002,760,65,How much money is left with Shivam finally?,"4.
Saugat had Rs. 10, 000. He bought a goat for Rs. 1, 200 and a cow

for 7, 300. How much money is left with him?",0.6445,,,
EDU_0001_EDU_0002_00067,EDU_0001,EDU_0002,772,66,Find the number of girls.,"Make yourself and tell the students to make more problems as given above,
and solve.
Exercise 3.8
Teaching Instructions:

My Mathematics, Grade 4
43
4.1 Fraction
Equivalent fractions
Mother gave Shila and Raju two equal
pieces of bread. Shila divided that into six
equal parts and ate 3 parts of it.
Raju divided his bread into two equal
parts and ate 1 of them. Now, say who ate
more?",0.6445,,,
EDU_0001_EDU_0002_00068,EDU_0001,EDU_0002,784,67,Find the loss beared by Ritu.,"See the figures at the right side. In which
figure, shaded part is more?",0.6485,,,
EDU_0001_EDU_0002_00069,EDU_0001,EDU_0002,796,68,Barsha’s family has a monthly income of Rs.,"Trace the shaded part on the transparent
paper and overlap the shaded part of
another figure. What have you found out?",0.6444,,,
EDU_0001_EDU_0002_00070,EDU_0001,EDU_0002,808,69,"Find
the number of vehicles entered the next day.","In this way, a part of an object can be
presented with different types of fraction.
In the figure above,
and
are equal
fractions.
Look at the figure below. Which fraction does the shaded part denote?",0.6444,,,
EDU_0001_EDU_0002_00071,EDU_0001,EDU_0002,820,70,"Her mother
asked Mina about the total number of pencils purchased.","4
Fraction, Decimal, Percentage

and Unitary Method

44
My Mathematics, Grade 4
Divide the same figure in 4 equal
parts and look at it.
Which fraction does the shaded part
denote?",0.6444,,,
EDU_0001_EDU_0002_00072,EDU_0001,EDU_0002,833,71,"To find the total amount distributed,
935 should be added for 142 times.",Is it bigger or smaller than ?,0.6679,,,
EDU_0001_EDU_0002_00073,EDU_0001,EDU_0002,845,72,"The carryover digit is encircled on
the top row.","What happens if the same figure is
divided into six equal parts, look!",0.8875,,,
EDU_0001_EDU_0002_00074,EDU_0001,EDU_0002,857,73,"The price of 5
such exercise book = Rs………

ii.","Now, which fraction does the shaded
part denote?",0.9843,,,
EDU_0001_EDU_0002_00075,EDU_0001,EDU_0002,869,74,2.,"Is it greater, lesser or equal to
1
2 ?",0.6444,,,
EDU_0001_EDU_0002_00076,EDU_0001,EDU_0002,881,75,"It has been agreed to collect Rs 650 from
each student.","Again, divide the same figure into 12
equal parts and look.
Now, which fraction is denoted
by shaded part?",0.7780,,,
EDU_0001_EDU_0002_00077,EDU_0001,EDU_0002,893,76,"Items
Quantity
Unit price
Total price
Rice
Oil
Sugar
Salt
Milk

64

My Mathematics, Grade 4
Activity 1
Dolma, Dhaniya, and Sarita are best friends.","Is it greater or
lesser than 1
2 ?",0.6444,,,
EDU_0001_EDU_0002_00078,EDU_0001,EDU_0002,905,77,"In the first round of distribution, three Laddus were distributed.","In all the above four
figures, the shaded parts are equal. So
1
2
3
6
2
4
6
12
=
=
=
all denote the same
fraction 1
2 .
Therefore, 1
2
3
6
2
4
6
12
=
=
=
In this way, fractions which are equal to other fraction are called
equivalent fractions.
Similarly, can you say other two fractions, which are equal to 1
2 ?",0.6444,,,
EDU_0001_EDU_0002_00079,EDU_0001,EDU_0002,918,78,Is not it?,"In the above examples, we have made three different fractions with
the help of pictures which are equal to 1
2 . Now, let's try to make
them in another way.
1
2

My Mathematics, Grade 4
45
Exercise 4.1
1
1x2
2
2
2x2
4
=
=
1
1x3
3
2
2x3
6
=
=
1
1x6
6
2
2x6
12
=
=
1
1x2
2
2
2x2
4
=
=
1
1x3
3
2
2x3
6
=
=
1
1x6
6
2
2x6
12
=
=
1
1x4
4
2
2x4
8
=
=
1
2
2
2x2
3
3x2
=
=
3
3x4
4
4x4
=
=
2
2x3
5
5x3
=
=
3
3x5
8
8x5
=
=
(a) Multiplying both numerator (b) Multiplying both numerator

and denominator by 2

and denominator by 3
(c) Multiplying both numerator and denominator by 6
So, the fraction derived by multiplying the numerator and denominator
by the same number of any fraction is equivalent to the given fraction.
- In this figure, can you add other branches of equivalent fraction?",0.6445,,,
EDU_0001_EDU_0002_00080,EDU_0001,EDU_0002,930,79,"Therefore we should take the two digit of
the highest place of the divisor and see
how many times it divides.","- If you can, how many such branches can you add at most?",0.7816,,,
EDU_0001_EDU_0002_00081,EDU_0001,EDU_0002,942,80,"Multiplication table
11 × 1
=
11
11 × 2
=
22
11 × 3
=
33
11 × 4
=
44
11 × 5
=
55
11 × 6
=
66
11 × 7
=
77
11 × 8
=
88
11 × 9
=
99
11 × 10 =
110

My Mathematics, Grade 4
67
How would we know whether the work we've done so far is
correct?","1. Write down the equivalent fraction

of the given figure after dividing it

into two equal parts.
2. Which fraction do we need to write in the following blanks?",0.8893,,,
EDU_0001_EDU_0002_00082,EDU_0001,EDU_0002,954,81,"68

My Mathematics, Grade 4
Dividing,
9

divisor
18 162

-162

6
remainder
Example 1
Divide and check your result.","(a)

(b)

(c)

(d)

46
My Mathematics, Grade 4
3. Write two equivalent fractions of each fractions.

(a)
(b)
(c)
(d)
(e)
(f)
(g)
4. Write equivalent fraction of each of the following having 12 in denominator.

(a)
(b)

(c)

(d)

(e)
5. Which number should be written in the boxes?",0.6547,,,
EDU_0001_EDU_0002_00083,EDU_0001,EDU_0002,966,82,"If 18÷6=3, Divisor=……….., Dividend =………..","(a)

(b)

(c)

(d)
6. Identify the equivalent fraction in the following.

(a) and

(b) and
(c) and

(d) and

(e) and
(f) and
Comparison of fractions

Which figure is shaded more?",0.6444,,,
EDU_0001_EDU_0002_00084,EDU_0001,EDU_0002,978,83,A box can contain 65 chocolates.,"The
figure represented by 2
3 is shaded
more than the figure represented
by 1
3 . If so, which fraction is
greater?",0.6444,,,
EDU_0001_EDU_0002_00085,EDU_0001,EDU_0002,990,84,One kilogram of rice costs Rs.,"2
4
2
3
3
8
2
7
5
9
1
3
2
9
1
2
2
3
1
4
5
6
3
4
7
8
64
=
3
11
77
=
7
21
9 =
3
24
8 =
1
4
6
24
2
3
10
5
3
4
18
24
5
20
1
5
3
8
12
32
15
27
10
18
If the denominators are equal, the fraction having greater numerator
is greater. In the fractions
and
numerator 2 is greater than the
numerator 1. So, the fraction
is greater. Thus,
is smaller and
is greater.
2
3
1
3

My Mathematics, Grade 4
47
In order to find out the smallest fraction among 2
7
3
7
,
and
4
7 , we should draw
the figures to represent them. The smallest fraction can be found on the basis
of the shaded part. If the fractions have the same denominator, the fraction
whose numerator is smaller, the fraction is smaller too.
Here, the smallest fraction is
2
7 .
The greatest fraction is 4
7
The fractions
and
should be written in descending order as

and
. It is also clear from the shaded part.
Look at the following figures and find out the smaller and greater fractions
having the same numerator but different denominators in figure:

Which fraction representing figure is shaded more?",0.6444,,,
EDU_0001_EDU_0002_00086,EDU_0001,EDU_0002,1003,85,"As a birthday present, he gave three
pencils to his friend Sangita.",Which fraction representing figure is shaded least?,0.9213,,,
EDU_0001_EDU_0002_00087,EDU_0001,EDU_0002,1015,86,"She went out and purchased
five more candies.","It can be said from the above figures that the fraction having small
denominator is greater among the fractions with equal numerator.
When an object is divided into various parts, it becomes smaller
subsequently.
Example 1

48
My Mathematics, Grade 4
1. Find out the greater fraction in the following fractions.

(a) ,
(b) ,

-c_
,

(d)
,
(e)
,

-f_
,
2. Write the following fractions in descending order.

(a)

(b)

(c)

(d)
(e)

(f)
3. Write the following fractions in ascending order.

(a)

(b)

(c)

(d)

(e)

(f)
Exercise 4.2
If we write the above fractions in descending order, it will be

and
.
Similarly, in ascending order, it will be
and .
is greater and
is smaller.
is greater
and
is smaller. Because, the fraction
with smaller denominator is greater among
the fractions with equal numerator. If the
denominators are equal, the fraction having
great numerator is greater.
12
14
13
14
11
14
,
,
20
21
19
21
16
21
,
,
12
14
13
14
11
14
,
,
5
11
3
11
8
11
,
,
5
8
5
6
5
9
,
,
Which one is greater
or
?",0.6445,,,
EDU_0001_EDU_0002_00088,EDU_0001,EDU_0002,1027,87,"What is the value if the positive difference of 8 and 5
is added to 3?","Which one is greater
or
?",0.6445,,,
EDU_0001_EDU_0002_00089,EDU_0001,EDU_0002,1039,88,"So, it is 3 numbers of 1
4

= 3
4
Example 1
Ashira bought an 8-equally sliced
pizza from a restaurant.",Why ?,0.6444,,,
