pair_id,source_id,module_id,screen_id,en_activity_id,ne_activity_id,en_sentence_index,ne_sentence_index,en_text,ne_text,alignment_method,alignment_score,quality_bucket,review_status
EPAATH_0001_00012,EPAATH_0001,grade5/math/fractions,data,olenepal/strings/string,olenepal/strings/string,11,49,Check,जाँच,screen_activity_position_length,0.9417,high,needs_manual_review
EPAATH_0001_00013,EPAATH_0001,grade5/math/fractions,data,olenepal/strings/string,olenepal/strings/string,12,50,Submit,पेश गर,screen_activity_position_length,1.0000,high,needs_manual_review
EPAATH_0001_00014,EPAATH_0001,grade5/math/fractions,data,olenepal/strings/string,olenepal/strings/string,13,52,Multiply,सुझाव:,screen_activity_position_length,0.9006,high,needs_manual_review
EPAATH_0001_00015,EPAATH_0001,grade5/math/fractions,data,olenepal/strings/string,olenepal/strings/string,14,51,Hint:,गुणन,screen_activity_position_length,0.9200,high,needs_manual_review
EPAATH_0001_00016,EPAATH_0001,grade5/math/fractions,data,olenepal/strings/string,olenepal/strings/string,15,53,Do It Yourself,आफैँँ गर,screen_activity_position_length,0.8250,medium,needs_manual_review
EPAATH_0001_00017,EPAATH_0001,grade5/math/fractions,data,olenepal/strings/string,olenepal/strings/string,16,54,Play again,फेरी खेल,screen_activity_position_length,0.9417,high,needs_manual_review
EPAATH_0001_00018,EPAATH_0001,grade5/math/fractions,data,olenepal/strings/string,olenepal/strings/string,17,55,How many sweets are here?,यहाँ कतिओटा मिठाईहरू छन्?,screen_activity_position_length,1.0000,high,needs_manual_review
EPAATH_0001_00019,EPAATH_0001,grade5/math/fractions,data,olenepal/strings/string,olenepal/strings/string,18,56,Let us find half of 18 or the result of multiplying ::1_/_2;; with 18.,अब हामी 18 को आधा #अथवा@ 18 लाई ::1_/_2;; सँग गुणन गर्दा कति हुँदो रहेछ #हेरौँ@।,screen_activity_position_length,0.9667,high,needs_manual_review
EPAATH_0001_00020,EPAATH_0001,grade5/math/fractions,data,olenepal/strings/string,olenepal/strings/string,19,57,"Now, let us find one third of 18 or the result of multiplying ::1_/_3;; with 18.",अब हामी 18 को एक तिहाइ अथवा 18 लाई ::1_/_3;; सँग गुणन गर्दा कति हुँदो रहेछ हेरौँ।,screen_activity_position_length,0.9971,high,needs_manual_review
EPAATH_0001_00021,EPAATH_0001,grade5/math/fractions,data,olenepal/strings/string,olenepal/strings/string,20,58,Multiplying a fraction with a whole number means multiplying the whole number with the numerator keeping denominator the same.,भिन्नलाई पूर्ण सङ्ख्याले गुणन गर्दा पूर्ण सङ्ख्याले भिन्नको अंशलाई गुणन गरी हरलाई उही राख्नुपर्छ।,screen_activity_position_length,0.9302,high,needs_manual_review
EPAATH_0001_00022,EPAATH_0001,grade5/math/fractions,data,olenepal/strings/string,olenepal/strings/string,21,59,"If the result is improper, then it should be converted into mixed fraction.",यसरी आउने भिन्न अनुपयुक्त भिन्न भए सो भिन्नलाई मिश्रित सङ्ख्यामा व्यक्त गर्नुपर्छ।,screen_activity_position_length,0.9782,high,needs_manual_review
EPAATH_0001_00023,EPAATH_0001,grade5/math/fractions,data,olenepal/strings/string,olenepal/strings/string,22,60,::5_/_3;; also means 5 ÷ 3:,::5_/_3;; अथवा 5 ÷ 3:,screen_activity_position_length,0.9333,high,needs_manual_review
EPAATH_0001_00024,EPAATH_0001,grade5/math/fractions,data,olenepal/strings/string,olenepal/strings/string,23,61,Let us multiply ::1_/_3;; with 14.,अब हामी 14 लाई ::1_/_3;; सँग गुणन गरी हेरौँ।,screen_activity_position_length,0.9314,high,needs_manual_review
EPAATH_0001_00025,EPAATH_0001,grade5/math/fractions,data,olenepal/strings/string,olenepal/strings/string,24,62,Enter a natural number:,प्राकृतिक सङ्ख्या राख:,screen_activity_position_length,0.9894,high,needs_manual_review
EPAATH_0001_00026,EPAATH_0001,grade5/math/fractions,data,olenepal/strings/string,olenepal/strings/string,25,63,Enter a proper fraction:,उपयुक्त भिन्न राख,screen_activity_position_length,0.9039,high,needs_manual_review
EPAATH_0001_00027,EPAATH_0001,grade5/math/fractions,data,olenepal/strings/string,olenepal/strings/string,26,64,"Product = <span class = ""hint_a"">a</span> x ::<span class = ""hint_b"">b</span>_/_<span class = ""hint_c"">c</span>;; =","गुणनफल = <span class = ""hint_a"">a</span> x ::<span class = ""hint_b"">b</span>_/_<span class = ""hint_c"">c</span>;; =",screen_activity_position_length,0.9980,high,needs_manual_review
EPAATH_0001_00028,EPAATH_0001,grade5/math/fractions,data,olenepal/strings/string,olenepal/strings/string,27,65,"Product = <span class = ""hint_a"">a</span> x ::<span class = ""hint_b"">b</span>_/_<span class = ""hint_c"">c</span>;; = ::#<span class = ""hint_b"">b</span>@_/_#<span class = ""hint_c"">c</span>@;; =","गुणनफल = <span class = ""hint_a"">a</span> x ::<span class = ""hint_b"">b</span>_/_<span class = ""hint_c"">c</span>;; = ::#<span class = ""hint_b"">b</span>@_/_#<span class = ""hint_c"">c</span>@;; =",screen_activity_position_length,0.9988,high,needs_manual_review
EPAATH_0001_00029,EPAATH_0001,grade5/math/fractions,data,olenepal/strings/string,olenepal/strings/string,28,66,"::<span class = ""hint_a"">a</span> × <span class = ""hint_b"">b</span>_/_<span class = ""hint_c"">c</span>;;","::<span class = ""hint_a"">a</span> × <span class = ""hint_b"">b</span>_/_<span class = ""hint_c"">c</span>;;",screen_activity_position_length,1.0000,high,needs_manual_review
EPAATH_0001_00030,EPAATH_0001,grade5/math/fractions,data,olenepal/strings/string,olenepal/strings/string,29,67,"<span class = ""hint_f"">f</span> #<span class = ""big_bracket"">)</span> <span class = ""hint_e"">e</span> <span class = ""big_bracket"">(</span>@ <span class = ""hint_x"">x</span>","<span class = ""hint_f"">f</span> #<span class = ""big_bracket"">)</span> <span class = ""hint_e"">e</span> <span class = ""big_bracket"">(</span>@ <span class = ""hint_x"">x</span>",screen_activity_position_length,1.0000,high,needs_manual_review
EPAATH_0001_00031,EPAATH_0001,grade5/math/fractions,data,olenepal/strings/string,olenepal/strings/string,30,68,"::-<span class = ""hint_z"">z</span>_/_<span class = ""hint_y"">y</span>;;","::-<span class = ""hint_z"">z</span>_/_<span class = ""hint_y"">y</span>;;",screen_activity_position_length,1.0000,high,needs_manual_review
EPAATH_0001_00032,EPAATH_0001,grade5/math/fractions,data,olenepal/strings/string,olenepal/strings/string,31,69,numerator must be less than denominator,अंशभन्दा हर ठुलो हुनुपर्छ,screen_activity_position_length,0.8693,high,needs_manual_review
EPAATH_0001_00033,EPAATH_0001,grade5/math/fractions,data,olenepal/strings/string,olenepal/strings/string,32,70,Multiplying a fraction with another fraction means multiplying the numerator with the numerator and denominator with the denominator.,भिन्नहरूको गुणन गर्दा हरले हरलाई र अंशले अंशलाई गुणन गर्नुपर्छ।,screen_activity_position_length,0.7407,medium,needs_manual_review
EPAATH_0001_00034,EPAATH_0001,grade5/math/fractions,data,olenepal/strings/string,olenepal/strings/string,33,71,Enter two proper fractions you want to multiply:,गुणन गर्ने दुई ओटा उपयुक्त भिन्न राख:,screen_activity_position_length,0.9306,high,needs_manual_review
EPAATH_0001_00035,EPAATH_0001,grade5/math/fractions,data,olenepal/strings/string,olenepal/strings/string,34,73,Choose a numerator which is less than the denominator.,तल उल्लेखित गुणनको गुणनफल राख:,screen_activity_position_length,0.7917,medium,needs_manual_review
EPAATH_0001_00036,EPAATH_0001,grade5/math/fractions,data,olenepal/strings/string,olenepal/strings/string,35,72,Enter the product of the following multiplication:,हरभन्दा अंश सानो छान।,screen_activity_position_length,0.6561,low,needs_manual_review
EPAATH_0001_00037,EPAATH_0001,grade5/math/fractions,data,olenepal/strings/string,olenepal/strings/string,36,74,"Product = ::<span class = ""hint_a"">a</span>_/_<span class = ""hint_b"">b</span>;; x ::<span class = ""hint_c"">c</span>_/_<span class = ""hint_d"">d</span>;; =","गुणनफल = ::<span class = ""hint_a"">a</span>_/_<span class = ""hint_b"">b</span>;; x ::<span class = ""hint_c"">c</span>_/_<span class = ""hint_d"">d</span>;; =",screen_activity_position_length,0.9985,high,needs_manual_review
EPAATH_0001_00038,EPAATH_0001,grade5/math/fractions,data,olenepal/strings/string,olenepal/strings/string,37,75,"Hint: <br> ::
<span class = ""ans_a"">a</span> ×
<span class = ""ans_b"">b</span>_/_
<span class = ""ans_c"">c</span>;;","सुझाव: <br> ::
<span class = ""ans_a"">a</span> ×
<span class = ""ans_b"">b</span>_/_
<span class = ""ans_c"">c</span>;;",screen_activity_position_length,0.9979,high,needs_manual_review
