candidate_id,source_id,module_id,grade,subject,subdomain,screen_id,activity_id,record_key,pair_method,candidate_bucket,module_quality_score,module_risk_level,module_quality_flags,review_priority,auto_decision,qa_flags,en_record_text,ne_record_text,en_sentence_index,ne_sentence_index,en_text,ne_text
EPAATH_grade1__english__i_likee_to_play_candidate_00007,EPAATH_grade1__english__i_likee_to_play,grade1/english/i_likee_to_play,1,english,english_language,page1,covertext,strings/string#id=covertext,exact_record_key,high_exact_single_sentence,35,high,low_overlap_min;low_overlap_max,medium,review_carefully,module_high_risk;module_low_coverage,I like to play,सजीव र निर्जीव,1,1,I like to play,सजीव र निर्जीव
EPAATH_grade1__english__i_likee_to_play_candidate_00008,EPAATH_grade1__english__i_likee_to_play,grade1/english/i_likee_to_play,1,english,english_language,page1,s1p2,strings/string#id=s1p2,exact_record_key,high_exact_single_sentence,35,high,low_overlap_min;low_overlap_max,medium,review_carefully,module_high_risk;module_low_coverage,"And, I am Anjan.",त्यसैले उनीहरू आमासँगै बाहिर निस्किए।,1,1,"And, I am Anjan.",त्यसैले उनीहरू आमासँगै बाहिर निस्किए।
EPAATH_grade1__english__i_likee_to_play_candidate_00009,EPAATH_grade1__english__i_likee_to_play,grade1/english/i_likee_to_play,1,english,english_language,page1,s1p3,strings/string#id=s1p3,exact_record_key,high_exact_single_sentence,35,high,low_overlap_min;low_overlap_max,medium,review_carefully,module_high_risk;module_low_coverage,"Today, we are talking about what we like and don’t like.",बाटोमा सोनुले गोठ देखी।,1,1,"Today, we are talking about what we like and don’t like.",बाटोमा सोनुले गोठ देखी।
EPAATH_grade1__english__i_likee_to_play_candidate_00010,EPAATH_grade1__english__i_likee_to_play,grade1/english/i_likee_to_play,1,english,english_language,page1,s1p4,strings/string#id=s1p4,exact_record_key,high_exact_single_sentence,35,high,low_overlap_min;low_overlap_max,medium,review_carefully,module_high_risk;module_low_coverage,What fruit do you like?,ऊ त्यतैतिर लागी।,1,1,What fruit do you like?,ऊ त्यतैतिर लागी।
EPAATH_grade1__english__i_likee_to_play_candidate_00011,EPAATH_grade1__english__i_likee_to_play,grade1/english/i_likee_to_play,1,english,english_language,page1,s1p5,strings/string#id=s1p5,exact_record_key,high_exact_single_sentence,35,high,low_overlap_min;low_overlap_max,medium,review_carefully,module_high_risk;module_low_coverage,I like mangoes.,उसले गाईलाई राम्ररी हेर्दैछे।,1,1,I like mangoes.,उसले गाईलाई राम्ररी हेर्दैछे।
EPAATH_grade1__english__identifying_letters_i_candidate_00005,EPAATH_grade1__english__identifying_letters_i,grade1/english/identifying_letters_i,1,english,english_language,page1,p1text2,strings/string#id=p1text2,exact_record_key,high_exact_single_sentence,35,high,low_overlap_min;low_overlap_max,medium,review_carefully,module_high_risk;module_low_coverage,Let’s look at the first 8 letters.,उसको नाम रामु थियो।,1,1,Let’s look at the first 8 letters.,उसको नाम रामु थियो।
EPAATH_grade1__english__identifying_letters_sec_candidate_00001,EPAATH_grade1__english__identifying_letters_sec,grade1/english/identifying_letters_sec,1,english,english_language,overview,lesson/chapter,lesson/chapter,exact_record_key,high_exact_single_sentence,60,medium,low_overlap_min,medium,review_carefully,lesson_metadata,Identifying Letters (I to P),झूटो नबोल,1,1,Identifying Letters (I to P),झूटो नबोल
EPAATH_grade1__english__identifying_letters_sec_candidate_00002,EPAATH_grade1__english__identifying_letters_sec,grade1/english/identifying_letters_sec,1,english,english_language,overview,lesson/objective/description/purpose,lesson/objective/description/purpose,exact_record_key,high_exact_single_sentence,60,medium,low_overlap_min,medium,review_carefully,lesson_metadata,To identify letters from I to P,सरल कथा हाउभाउसहित पढ्न,1,1,To identify letters from I to P,सरल कथा हाउभाउसहित पढ्न
EPAATH_grade1__english__identifying_letters_sec_candidate_00004,EPAATH_grade1__english__identifying_letters_sec,grade1/english/identifying_letters_sec,1,english,english_language,overview,lesson/subject,lesson/subject,exact_record_key,high_exact_single_sentence,60,medium,low_overlap_min,medium,review_carefully,lesson_metadata,English,नेपाली,1,1,English,नेपाली
EPAATH_grade1__english__identifying_letters_sec_candidate_00005,EPAATH_grade1__english__identifying_letters_sec,grade1/english/identifying_letters_sec,1,english,english_language,page1,p1text1,strings/string#id=p1text1,exact_record_key,high_exact_single_sentence,60,medium,low_overlap_min,high,review_first,,There are 26 letters in the English alphabet.,एकादेशमा एउटा केटो थियो।,1,1,There are 26 letters in the English alphabet.,एकादेशमा एउटा केटो थियो।
EPAATH_grade1__english__identifying_letters_sec_candidate_00006,EPAATH_grade1__english__identifying_letters_sec,grade1/english/identifying_letters_sec,1,english,english_language,page1,p1text2,strings/string#id=p1text2,exact_record_key,high_exact_single_sentence,60,medium,low_overlap_min,high,review_first,,We already looked at the first 8 letters.,उसको नाम रामु थियो।,1,1,We already looked at the first 8 letters.,उसको नाम रामु थियो।
EPAATH_grade1__english__identifying_letters_sec_candidate_00007,EPAATH_grade1__english__identifying_letters_sec,grade1/english/identifying_letters_sec,1,english,english_language,page2,p2text1,strings/string#id=p2text1,exact_record_key,high_exact_single_sentence,60,medium,low_overlap_min,high,review_first,very_short,#A@NT,केहि बेरपछि उसले अलि पर अनौठो अावाज सुन्यो।,1,1,#A@NT,केहि बेरपछि उसले अलि पर अनौठो अावाज सुन्यो।
EPAATH_grade1__english__identifying_letters_sec_candidate_00008,EPAATH_grade1__english__identifying_letters_sec,grade1/english/identifying_letters_sec,1,english,english_language,page2,p2text2,strings/string#id=p2text2,exact_record_key,high_exact_single_sentence,60,medium,low_overlap_min,high,review_first,,#B@ALL,तर अावाज झनै नजिक अायो।,1,1,#B@ALL,तर अावाज झनै नजिक अायो।
EPAATH_grade1__english__identifying_letters_sec_candidate_00009,EPAATH_grade1__english__identifying_letters_sec,grade1/english/identifying_letters_sec,1,english,english_language,page2,p2text3,strings/string#id=p2text3,exact_record_key,high_exact_single_sentence,60,medium,low_overlap_min,high,review_first,very_short,#C@AT,“घुर्र... घुर्र…” गर्दै एउटा ठुलो र डरलाग्दो स्याल अाफूतिर अाइरहेको उसले देख्यो।,1,1,#C@AT,“घुर्र... घुर्र…” गर्दै एउटा ठुलो र डरलाग्दो स्याल अाफूतिर अाइरहेको उसले देख्यो।
EPAATH_grade1__english__identifying_letters_sec_candidate_00010,EPAATH_grade1__english__identifying_letters_sec,grade1/english/identifying_letters_sec,1,english,english_language,page2,p2text5,strings/string#id=p2text5,exact_record_key,high_exact_single_sentence,60,medium,low_overlap_min,high,review_first,very_short,#E@GG,आँखा राता राता भए।,1,1,#E@GG,आँखा राता राता भए।
EPAATH_grade1__english__identifying_letters_sec_candidate_00011,EPAATH_grade1__english__identifying_letters_sec,grade1/english/identifying_letters_sec,1,english,english_language,page2,p2text8,strings/string#id=p2text8,exact_record_key,high_exact_single_sentence,60,medium,low_overlap_min,high,review_first,very_short,#H@EN,अाफ्नै आँखाअगाडि अाफ्नो प्यारो भेडालाई स्यालले अाहार बनाएको देखेर रामु चिच्च्याई-चिच्च्याई रोयो।,1,1,#H@EN,अाफ्नै आँखाअगाडि अाफ्नो प्यारो भेडालाई स्यालले अाहार बनाएको देखेर रामु चिच्च्याई-चिच्च्याई रोयो।
EPAATH_grade1__english__identifying_letters_third_candidate_00001,EPAATH_grade1__english__identifying_letters_third,grade1/english/identifying_letters_third,1,english,english_language,overview,lesson/chapter,lesson/chapter,exact_record_key,high_exact_single_sentence,60,medium,low_overlap_min,medium,review_carefully,lesson_metadata,Identifying Letters (Q to Z),झूटो नबोल,1,1,Identifying Letters (Q to Z),झूटो नबोल
EPAATH_grade1__english__identifying_letters_third_candidate_00002,EPAATH_grade1__english__identifying_letters_third,grade1/english/identifying_letters_third,1,english,english_language,overview,lesson/objective/description/purpose,lesson/objective/description/purpose,exact_record_key,high_exact_single_sentence,60,medium,low_overlap_min,medium,review_carefully,lesson_metadata,To identify letters from Q to Z,सरल कथा हाउभाउसहित पढ्न,1,1,To identify letters from Q to Z,सरल कथा हाउभाउसहित पढ्न
EPAATH_grade1__english__identifying_letters_third_candidate_00004,EPAATH_grade1__english__identifying_letters_third,grade1/english/identifying_letters_third,1,english,english_language,overview,lesson/subject,lesson/subject,exact_record_key,high_exact_single_sentence,60,medium,low_overlap_min,medium,review_carefully,lesson_metadata,English,नेपाली,1,1,English,नेपाली
EPAATH_grade1__english__identifying_letters_third_candidate_00005,EPAATH_grade1__english__identifying_letters_third,grade1/english/identifying_letters_third,1,english,english_language,page1,p1text1,strings/string#id=p1text1,exact_record_key,high_exact_single_sentence,60,medium,low_overlap_min,high,review_first,,There are 26 letters in the English alphabet.,एकादेशमा एउटा केटो थियो।,1,1,There are 26 letters in the English alphabet.,एकादेशमा एउटा केटो थियो।
EPAATH_grade1__english__identifying_letters_third_candidate_00006,EPAATH_grade1__english__identifying_letters_third,grade1/english/identifying_letters_third,1,english,english_language,page1,p1text2,strings/string#id=p1text2,exact_record_key,high_exact_single_sentence,60,medium,low_overlap_min,high,review_first,,We already looked at the first 8 letters,उसको नाम रामु थियो।,1,1,We already looked at the first 8 letters,उसको नाम रामु थियो।
EPAATH_grade1__english__identifying_letters_third_candidate_00007,EPAATH_grade1__english__identifying_letters_third,grade1/english/identifying_letters_third,1,english,english_language,page2,p2text1,strings/string#id=p2text1,exact_record_key,high_exact_single_sentence,60,medium,low_overlap_min,high,review_first,very_short,#A@NT,केहि बेरपछि उसले अलि पर अनौठो अावाज सुन्यो।,1,1,#A@NT,केहि बेरपछि उसले अलि पर अनौठो अावाज सुन्यो।
EPAATH_grade1__english__identifying_letters_third_candidate_00008,EPAATH_grade1__english__identifying_letters_third,grade1/english/identifying_letters_third,1,english,english_language,page2,p2text2,strings/string#id=p2text2,exact_record_key,high_exact_single_sentence,60,medium,low_overlap_min,high,review_first,,#B@ALL,तर अावाज झनै नजिक अायो।,1,1,#B@ALL,तर अावाज झनै नजिक अायो।
EPAATH_grade1__english__identifying_letters_third_candidate_00009,EPAATH_grade1__english__identifying_letters_third,grade1/english/identifying_letters_third,1,english,english_language,page2,p2text3,strings/string#id=p2text3,exact_record_key,high_exact_single_sentence,60,medium,low_overlap_min,high,review_first,very_short,#C@AT,“घुर्र... घुर्र…” गर्दै एउटा ठुलो र डरलाग्दो स्याल अाफूतिर अाइरहेको उसले देख्यो।,1,1,#C@AT,“घुर्र... घुर्र…” गर्दै एउटा ठुलो र डरलाग्दो स्याल अाफूतिर अाइरहेको उसले देख्यो।
EPAATH_grade1__english__identifying_letters_third_candidate_00010,EPAATH_grade1__english__identifying_letters_third,grade1/english/identifying_letters_third,1,english,english_language,page2,p2text5,strings/string#id=p2text5,exact_record_key,high_exact_single_sentence,60,medium,low_overlap_min,high,review_first,very_short,#E@GG,आँखा राता राता भए।,1,1,#E@GG,आँखा राता राता भए।
EPAATH_grade1__english__identifying_letters_third_candidate_00011,EPAATH_grade1__english__identifying_letters_third,grade1/english/identifying_letters_third,1,english,english_language,page2,p2text8,strings/string#id=p2text8,exact_record_key,high_exact_single_sentence,60,medium,low_overlap_min,high,review_first,very_short,#H@EN,अाफ्नै आँखाअगाडि अाफ्नो प्यारो भेडालाई स्यालले अाहार बनाएको देखेर रामु चिच्च्याई-चिच्च्याई रोयो।,1,1,#H@EN,अाफ्नै आँखाअगाडि अाफ्नो प्यारो भेडालाई स्यालले अाहार बनाएको देखेर रामु चिच्च्याई-चिच्च्याई रोयो।
EPAATH_grade1__english__lines_and_curves_candidate_00001,EPAATH_grade1__english__lines_and_curves,grade1/english/lines_and_curves,1,english,english_language,overview,lesson/chapter,lesson/chapter,exact_record_key,high_exact_single_sentence,60,medium,,medium,review_carefully,lesson_metadata,Lines And Curves,१ देखि ५ सम्मका सङ्ख्याहरू,1,1,Lines And Curves,१ देखि ५ सम्मका सङ्ख्याहरू
EPAATH_grade1__english__lines_and_curves_candidate_00002,EPAATH_grade1__english__lines_and_curves,grade1/english/lines_and_curves,1,english,english_language,overview,lesson/levelname,lesson/levelname,exact_record_key,high_exact_single_sentence,60,medium,,medium,review_carefully,lesson_metadata,Level 1,तह १,1,1,Level 1,तह १
EPAATH_grade1__english__lines_and_curves_candidate_00003,EPAATH_grade1__english__lines_and_curves,grade1/english/lines_and_curves,1,english,english_language,overview,lesson/objective/description/purpose,lesson/objective/description/purpose,exact_record_key,high_exact_single_sentence,60,medium,,medium,review_carefully,lesson_metadata,"To recognize and draw straight lines, curves and circles",१ - 5 सम्मका सङ्ख्याहरू चिन्न,1,1,"To recognize and draw straight lines, curves and circles",१ - 5 सम्मका सङ्ख्याहरू चिन्न
EPAATH_grade1__english__lines_and_curves_candidate_00005,EPAATH_grade1__english__lines_and_curves,grade1/english/lines_and_curves,1,english,english_language,overview,lesson/subject,lesson/subject,exact_record_key,high_exact_single_sentence,60,medium,,medium,review_carefully,lesson_metadata,English,गणित,1,1,English,गणित
EPAATH_grade1__english__lines_and_curves_candidate_00007,EPAATH_grade1__english__lines_and_curves,grade1/english/lines_and_curves,1,english,english_language,overview,finmsg,strings/string#id=finmsg,exact_record_key,high_exact_multi_sentence,60,medium,,high,review_first,,Yay! We learnt about numbers from 1 to 5.,आहा! हामीले १ देखी ५ सम्मका सङ्ख्याहरू पढ्यौं।,1,1,Yay!,आहा!
EPAATH_grade1__english__lines_and_curves_candidate_00008,EPAATH_grade1__english__lines_and_curves,grade1/english/lines_and_curves,1,english,english_language,overview,finmsg,strings/string#id=finmsg,exact_record_key,high_exact_multi_sentence,60,medium,,high,review_first,,Yay! We learnt about numbers from 1 to 5.,आहा! हामीले १ देखी ५ सम्मका सङ्ख्याहरू पढ्यौं।,2,2,We learnt about numbers from 1 to 5.,हामीले १ देखी ५ सम्मका सङ्ख्याहरू पढ्यौं।
EPAATH_grade1__english__lines_and_curves_candidate_00009,EPAATH_grade1__english__lines_and_curves,grade1/english/lines_and_curves,1,english,english_language,overview,playtime,strings/string#id=playtime,exact_record_key,high_exact_single_sentence,60,medium,,high,review_first,,Playtime,खेलौँ,1,1,Playtime,खेलौँ
EPAATH_grade1__english__numbers_candidate_00005,EPAATH_grade1__english__numbers,grade1/english/numbers,1,english,english_language,page1,p1text1,strings/string#id=p1text1,exact_record_key,high_exact_single_sentence,15,high,low_overlap_max;low_nepali_script;few_content_pairs;many_identical_pairs;many_latin_only_ne_pairs,medium,review_carefully,module_high_risk;module_low_content_overlap;module_low_coverage;module_low_nepali_script,Let’s learn about numbers!,एउटा गाउँका मानिसहरू पौडी खेल्न निकै सिपालु थिए।,1,1,Let’s learn about numbers!,एउटा गाउँका मानिसहरू पौडी खेल्न निकै सिपालु थिए।
EPAATH_grade1__math__adding_three_numbers_candidate_00001,EPAATH_grade1__math__adding_three_numbers,grade1/math/adding_three_numbers,1,math,mathematics,overview,lesson/chapter,lesson/chapter,exact_record_key,high_exact_single_sentence,100,low,,medium,review_carefully,lesson_metadata,Adding Three Numbers,तीनओटा सङ्ख्याहरूको जोड,1,1,Adding Three Numbers,तीनओटा सङ्ख्याहरूको जोड
EPAATH_grade1__math__adding_three_numbers_candidate_00002,EPAATH_grade1__math__adding_three_numbers,grade1/math/adding_three_numbers,1,math,mathematics,overview,lesson/levelname,lesson/levelname,exact_record_key,high_exact_single_sentence,100,low,,medium,review_carefully,lesson_metadata,Level 1,तह १,1,1,Level 1,तह १
EPAATH_grade1__math__adding_three_numbers_candidate_00003,EPAATH_grade1__math__adding_three_numbers,grade1/math/adding_three_numbers,1,math,mathematics,overview,lesson/objective/description/purpose,lesson/objective/description/purpose,exact_record_key,high_exact_single_sentence,100,low,,medium,review_carefully,lesson_metadata,To add three numbers that add up to 20.,योगफल २० सम्म आउने तीनओटा सम्म सङ्ख्याहरूको जोड गर्न।,1,1,To add three numbers that add up to 20.,योगफल २० सम्म आउने तीनओटा सम्म सङ्ख्याहरूको जोड गर्न।
EPAATH_grade1__math__adding_three_numbers_candidate_00005,EPAATH_grade1__math__adding_three_numbers,grade1/math/adding_three_numbers,1,math,mathematics,overview,lesson/subject,lesson/subject,exact_record_key,high_exact_single_sentence,100,low,,medium,review_carefully,lesson_metadata,Math,गणित,1,1,Math,गणित
EPAATH_grade1__math__adding_three_numbers_candidate_00006,EPAATH_grade1__math__adding_three_numbers,grade1/math/adding_three_numbers,1,math,mathematics,overview,lesson/topic,lesson/topic,exact_record_key,high_exact_single_sentence,100,low,,medium,review_carefully,lesson_metadata,Math,गणित,1,1,Math,गणित
EPAATH_grade1__math__adding_three_numbers_candidate_00007,EPAATH_grade1__math__adding_three_numbers,grade1/math/adding_three_numbers,1,math,mathematics,page1,chapter,strings/string#id=chapter,exact_record_key,high_exact_single_sentence,100,low,,high,review_first,,Adding Three Numbers,तीनओटा सङ्ख्याहरूको जोड,1,1,Adding Three Numbers,तीनओटा सङ्ख्याहरूको जोड
EPAATH_grade1__math__adding_three_numbers_candidate_00008,EPAATH_grade1__math__adding_three_numbers,grade1/math/adding_three_numbers,1,math,mathematics,overview,exques1,strings/string#id=exques1,exact_record_key,high_exact_single_sentence,100,low,,high,review_first,,How many balloons are there?,यहाँ कतिओटा बेलुनहरू छन्?,1,1,How many balloons are there?,यहाँ कतिओटा बेलुनहरू छन्?
EPAATH_grade1__math__adding_three_numbers_candidate_00009,EPAATH_grade1__math__adding_three_numbers,grade1/math/adding_three_numbers,1,math,mathematics,overview,exques2,strings/string#id=exques2,exact_record_key,high_exact_single_sentence,100,low,,high,review_first,,How many butterflies are there?,यहाँ कतिओटा पुतलीहरू छन्?,1,1,How many butterflies are there?,यहाँ कतिओटा पुतलीहरू छन्?
EPAATH_grade1__math__adding_three_numbers_candidate_00010,EPAATH_grade1__math__adding_three_numbers,grade1/math/adding_three_numbers,1,math,mathematics,overview,exques3,strings/string#id=exques3,exact_record_key,high_exact_single_sentence,100,low,,high,review_first,,How many kites are there?,यहाँ कतिओटा चङ्गाहरू छन्?,1,1,How many kites are there?,यहाँ कतिओटा चङ्गाहरू छन्?
EPAATH_grade1__math__adding_three_numbers_candidate_00011,EPAATH_grade1__math__adding_three_numbers,grade1/math/adding_three_numbers,1,math,mathematics,overview,exques4,strings/string#id=exques4,exact_record_key,high_exact_single_sentence,100,low,,high,review_first,,How many birds are there?,यहाँ कतिओटा चराहरू छन्?,1,1,How many birds are there?,यहाँ कतिओटा चराहरू छन्?
EPAATH_grade1__math__adding_three_numbers_candidate_00012,EPAATH_grade1__math__adding_three_numbers,grade1/math/adding_three_numbers,1,math,mathematics,overview,exques5,strings/string#id=exques5,exact_record_key,high_exact_single_sentence,100,low,,high,review_first,,How many airplanes are there?,यहाँ कतिओटा हवाईजहाजहरू छन्?,1,1,How many airplanes are there?,यहाँ कतिओटा हवाईजहाजहरू छन्?
EPAATH_grade1__math__adding_three_numbers_candidate_00022,EPAATH_grade1__math__adding_three_numbers,grade1/math/adding_three_numbers,1,math,mathematics,page1,p1text1,strings/string#id=p1text1,exact_record_key,high_exact_single_sentence,100,low,,high,review_first,,Let’s learn to add three numbers!,तीनओटा सङ्ख्याहरू जोड्न सिकौँ!,1,1,Let’s learn to add three numbers!,तीनओटा सङ्ख्याहरू जोड्न सिकौँ!
EPAATH_grade1__math__adding_three_numbers_candidate_00023,EPAATH_grade1__math__adding_three_numbers,grade1/math/adding_three_numbers,1,math,mathematics,page1,p1text2,strings/string#id=p1text2,exact_record_key,high_exact_single_sentence,100,low,,high,review_first,,I have 6 sweets.,मसँग ६ ओटा चकलेटहरू छन्।,1,1,I have 6 sweets.,मसँग ६ ओटा चकलेटहरू छन्।
EPAATH_grade1__math__adding_three_numbers_candidate_00024,EPAATH_grade1__math__adding_three_numbers,grade1/math/adding_three_numbers,1,math,mathematics,page1,p1text3,strings/string#id=p1text3,exact_record_key,high_exact_single_sentence,100,low,,high,review_first,,Sagar gave me 5 sweets.,सागरले मलाई ५ ओटा चकलेटहरू दियो।,1,1,Sagar gave me 5 sweets.,सागरले मलाई ५ ओटा चकलेटहरू दियो।
EPAATH_grade1__math__adding_three_numbers_candidate_00025,EPAATH_grade1__math__adding_three_numbers,grade1/math/adding_three_numbers,1,math,mathematics,page1,p1text4,strings/string#id=p1text4,exact_record_key,high_exact_single_sentence,100,low,,high,review_first,,Numa gave me 7 more sweets.,नूमाले मलाई थप ७ ओटा चकलेटहरू दिइन्।,1,1,Numa gave me 7 more sweets.,नूमाले मलाई थप ७ ओटा चकलेटहरू दिइन्।
